Country or Area,Item,Year,Value
South Africa,Exports of goods and services (current LCU),1985,40085000000.0
South Africa,Exports of goods and services (current LCU),1986,45672000000.0
South Africa,Exports of goods and services (current LCU),1987,52855000000.0
South Africa,Exports of goods and services (current LCU),1988,60994000000.0
South Africa,Exports of goods and services (current LCU),1989,67184000000.0
South Africa,Exports of goods and services (current LCU),1990,70243000000.0
South Africa,Exports of goods and services (current LCU),1991,72207000000.0
South Africa,Exports of goods and services (current LCU),1992,79445000000.0
South Africa,Exports of goods and services (current LCU),1993,95787000000.0
South Africa,Exports of goods and services (current LCU),1994,106562000000.0
South Africa,Exports of goods and services (current LCU),1995,124816000000.0
South Africa,Exports of goods and services (current LCU),1996,152816000000.0
South Africa,Exports of goods and services (current LCU),1997,168659000000.0
South Africa,Exports of goods and services (current LCU),1998,190453000000.0
South Africa,Exports of goods and services (current LCU),1999,206144000000.0
South Africa,Exports of goods and services (current LCU),2000,257011000000.0
South Africa,Exports of goods and services (current LCU),2001,307303000000.0
South Africa,Exports of goods and services (current LCU),2002,386857000000.0
South Africa,Exports of goods and services (current LCU),2003,356433000000.0
South Africa,Exports of goods and services (current LCU),2004,376053000000.0
South Africa,Exports of goods and services (current LCU),2005,433528000000.0
South Africa,Exports of goods and services (current LCU),2006,536996000000.0
South Africa,Exports of goods and services (current LCU),2007,656099000000.0
South Africa,Exports of goods and services (current LCU),2008,842373000000.0
South Africa,Exports of goods and services (current LCU),2009,698075000000.0
South Africa,Exports of goods and services (current LCU),2010,787841512800.0
South Africa,Exports of goods and services (current LCU),2011,921530421700.0
South Africa,Exports of goods and services (current LCU),2012,967886555500.0
South Africa,Exports of goods and services (current LCU),2013,1097889411400.0
South Africa,Exports of goods and services (current LCU),2014,1198848778000.0
South Africa,Exports of goods and services (current LCU),2015,1225162455400.0
South Africa,Exports of goods and services (current LCU),2016,1340104374100.0
South Africa,Exports of goods and services (current LCU),2017,1388380973676.39
South Africa,Exports of goods and services (current LCU),2018,1474718465220.04
South Africa,Exports of goods and services (current LCU),2019,1530175964875.68
South Africa,Exports of goods and services (current LCU),2020,1532715655032.5
South Africa,Exports of goods and services (current LCU),2021,1931635231362.77
South Africa,Exports of goods and services (current LCU),2022,2223112799213.54
