Country or Area,Item,Year,Value
South Africa,Exports of goods and services (current US$),1985,17986023085.4656
South Africa,Exports of goods and services (current US$),1986,19987466258.6782
South Africa,Exports of goods and services (current US$),1987,25959795347.1285
South Africa,Exports of goods and services (current US$),1988,26828616017.4676
South Africa,Exports of goods and services (current US$),1989,25616574210.244
South Africa,Exports of goods and services (current US$),1990,27148931269.0617
South Africa,Exports of goods and services (current US$),1991,26149497612.5505
South Africa,Exports of goods and services (current US$),1992,27855753863.7608
South Africa,Exports of goods and services (current US$),1993,29312901691.7492
South Africa,Exports of goods and services (current US$),1994,30010718717.3137
South Africa,Exports of goods and services (current US$),1995,34412207047.8084
South Africa,Exports of goods and services (current US$),1996,35543985845.2989
South Africa,Exports of goods and services (current US$),1997,36601647322.6125
South Africa,Exports of goods and services (current US$),1998,34450654127.0311
South Africa,Exports of goods and services (current US$),1999,33741638410.0523
South Africa,Exports of goods and services (current US$),2000,37034203153.1617
South Africa,Exports of goods and services (current US$),2001,35694800701.716
South Africa,Exports of goods and services (current US$),2002,36701099077.7029
South Africa,Exports of goods and services (current US$),2003,47117624127.3835
South Africa,Exports of goods and services (current US$),2004,58215305278.4397
South Africa,Exports of goods and services (current US$),2005,68171982951.6578
South Africa,Exports of goods and services (current US$),2006,79301796383.6635
South Africa,Exports of goods and services (current US$),2007,93124912619.8572
South Africa,Exports of goods and services (current US$),2008,101967105838.93
South Africa,Exports of goods and services (current US$),2009,82381621006.4253
South Africa,Exports of goods and services (current US$),2010,107610657455.818
South Africa,Exports of goods and services (current US$),2011,126912776368.754
South Africa,Exports of goods and services (current US$),2012,117892612029.379
South Africa,Exports of goods and services (current US$),2013,113768565563.408
South Africa,Exports of goods and services (current US$),2014,110550033012.43
South Africa,Exports of goods and services (current US$),2015,96085897668.3633
South Africa,Exports of goods and services (current US$),2016,91109021408.9525
South Africa,Exports of goods and services (current US$),2017,104288394991.053
South Africa,Exports of goods and services (current US$),2018,111434691808.012
South Africa,Exports of goods and services (current US$),2019,105906059176.939
South Africa,Exports of goods and services (current US$),2020,93122660985.0596
South Africa,Exports of goods and services (current US$),2021,130704196367.413
South Africa,Exports of goods and services (current US$),2022,135921544367.85
