Country or Area,Item,Year,Value
South Africa,Exports of goods and services (% of GDP),1985,27.9028811282273
South Africa,Exports of goods and services (% of GDP),1986,27.2476702979394
South Africa,Exports of goods and services (% of GDP),1987,26.8913762401425
South Africa,Exports of goods and services (% of GDP),1988,25.8024942044435
South Africa,Exports of goods and services (% of GDP),1989,23.7068402759399
South Africa,Exports of goods and services (% of GDP),1990,21.5385417337418
South Africa,Exports of goods and services (% of GDP),1991,19.3408153425832
South Africa,Exports of goods and services (% of GDP),1992,18.9551466044412
South Africa,Exports of goods and services (% of GDP),1993,19.914366630953
South Africa,Exports of goods and services (% of GDP),1994,19.549337805111
South Africa,Exports of goods and services (% of GDP),1995,20.0378606077754
South Africa,Exports of goods and services (% of GDP),1996,21.7747432189724
South Africa,Exports of goods and services (% of GDP),1997,21.6605918552042
South Africa,Exports of goods and services (% of GDP),1998,22.5192718175416
South Africa,Exports of goods and services (% of GDP),1999,22.2692159746602
South Africa,Exports of goods and services (% of GDP),2000,24.4043033106919
South Africa,Exports of goods and services (% of GDP),2001,26.3566606345688
South Africa,Exports of goods and services (% of GDP),2002,28.4311672176802
South Africa,Exports of goods and services (% of GDP),2003,23.9152733614034
South Africa,Exports of goods and services (% of GDP),2004,22.7575187856654
South Africa,Exports of goods and services (% of GDP),2005,23.5997644915436
South Africa,Exports of goods and services (% of GDP),2006,26.098249881712
South Africa,Exports of goods and services (% of GDP),2007,27.958964394702
South Africa,Exports of goods and services (% of GDP),2008,32.2546736710677
South Africa,Exports of goods and services (% of GDP),2009,24.9827464883237
South Africa,Exports of goods and services (% of GDP),2010,25.7834176267221
South Africa,Exports of goods and services (% of GDP),2011,27.6981484703752
South Africa,Exports of goods and services (% of GDP),2012,27.1391491937679
South Africa,Exports of goods and services (% of GDP),2013,28.379280320361
South Africa,Exports of goods and services (% of GDP),2014,29.0006193033471
South Africa,Exports of goods and services (% of GDP),2015,27.7136384124829
South Africa,Exports of goods and services (% of GDP),2016,28.1560881698955
South Africa,Exports of goods and services (% of GDP),2017,27.3400757806733
South Africa,Exports of goods and services (% of GDP),2018,27.4970371511922
South Africa,Exports of goods and services (% of GDP),2019,27.2021294049063
South Africa,Exports of goods and services (% of GDP),2020,27.5273512950695
South Africa,Exports of goods and services (% of GDP),2021,31.1113198464211
South Africa,Exports of goods and services (% of GDP),2022,33.5384457911339
