Country or Area,Item,Year,Value
South Africa,"Exports of goods, services and primary income (BoP, current US$)",1985,19002774308.5232
South Africa,"Exports of goods, services and primary income (BoP, current US$)",1986,21145015503.2118
South Africa,"Exports of goods, services and primary income (BoP, current US$)",1987,27337385817.376
South Africa,"Exports of goods, services and primary income (BoP, current US$)",1988,28015153902.0925
South Africa,"Exports of goods, services and primary income (BoP, current US$)",1989,26787640413.2407
South Africa,"Exports of goods, services and primary income (BoP, current US$)",1990,27817695767.7916
South Africa,"Exports of goods, services and primary income (BoP, current US$)",1991,27000256259.5376
South Africa,"Exports of goods, services and primary income (BoP, current US$)",1992,28823385073.0855
South Africa,"Exports of goods, services and primary income (BoP, current US$)",1993,29990731188.7834
South Africa,"Exports of goods, services and primary income (BoP, current US$)",1994,30973638011.8155
South Africa,"Exports of goods, services and primary income (BoP, current US$)",1995,35538043023.0917
South Africa,"Exports of goods, services and primary income (BoP, current US$)",1996,36572081252.6099
South Africa,"Exports of goods, services and primary income (BoP, current US$)",1997,37959642405.7714
South Africa,"Exports of goods, services and primary income (BoP, current US$)",1998,36069050875.5343
South Africa,"Exports of goods, services and primary income (BoP, current US$)",1999,35535038115.5284
South Africa,"Exports of goods, services and primary income (BoP, current US$)",2000,39506573038.0868
South Africa,"Exports of goods, services and primary income (BoP, current US$)",2001,38388833051.6923
South Africa,"Exports of goods, services and primary income (BoP, current US$)",2002,39060996814.2623
South Africa,"Exports of goods, services and primary income (BoP, current US$)",2003,50215153637.1005
South Africa,"Exports of goods, services and primary income (BoP, current US$)",2004,61694715395.8984
South Africa,"Exports of goods, services and primary income (BoP, current US$)",2005,72730057770.5366
South Africa,"Exports of goods, services and primary income (BoP, current US$)",2006,85077540710.3584
South Africa,"Exports of goods, services and primary income (BoP, current US$)",2007,100197537148.976
South Africa,"Exports of goods, services and primary income (BoP, current US$)",2008,108784507053.968
South Africa,"Exports of goods, services and primary income (BoP, current US$)",2009,87519937753.648
South Africa,"Exports of goods, services and primary income (BoP, current US$)",2010,112663622186.357
South Africa,"Exports of goods, services and primary income (BoP, current US$)",2011,132271374727.606
South Africa,"Exports of goods, services and primary income (BoP, current US$)",2012,123874448683.581
South Africa,"Exports of goods, services and primary income (BoP, current US$)",2013,120365231215.635
South Africa,"Exports of goods, services and primary income (BoP, current US$)",2014,118017124293.367
South Africa,"Exports of goods, services and primary income (BoP, current US$)",2015,104227326750.978
South Africa,"Exports of goods, services and primary income (BoP, current US$)",2016,97424748535.6498
South Africa,"Exports of goods, services and primary income (BoP, current US$)",2017,110243347836.633
South Africa,"Exports of goods, services and primary income (BoP, current US$)",2018,119269791039.689
South Africa,"Exports of goods, services and primary income (BoP, current US$)",2019,114383933526.586
South Africa,"Exports of goods, services and primary income (BoP, current US$)",2020,101956952327.246
South Africa,"Exports of goods, services and primary income (BoP, current US$)",2021,142224793481.825
South Africa,"Exports of goods, services and primary income (BoP, current US$)",2022,147492474249.365
