Country or Area,Item,Year,Value
South Africa,External balance on goods and services (current LCU),1985,11288000000.0
South Africa,External balance on goods and services (current LCU),1986,13152000000.0
South Africa,External balance on goods and services (current LCU),1987,17319000000.0
South Africa,External balance on goods and services (current LCU),1988,13601000000.0
South Africa,External balance on goods and services (current LCU),1989,13359000000.0
South Africa,External balance on goods and services (current LCU),1990,15867000000.0
South Africa,External balance on goods and services (current LCU),1991,14187000000.0
South Africa,External balance on goods and services (current LCU),1992,15042000000.0
South Africa,External balance on goods and services (current LCU),1993,19868000000.0
South Africa,External balance on goods and services (current LCU),1994,10815000000.0
South Africa,External balance on goods and services (current LCU),1995,3723000000.0
South Africa,External balance on goods and services (current LCU),1996,9476000000.0
South Africa,External balance on goods and services (current LCU),1997,7941000000.0
South Africa,External balance on goods and services (current LCU),1998,8481000000.0
South Africa,External balance on goods and services (current LCU),1999,21107000000.0
South Africa,External balance on goods and services (current LCU),2000,27254000000.0
South Africa,External balance on goods and services (current LCU),2001,41302000000.0
South Africa,External balance on goods and services (current LCU),2002,46220000000.0
South Africa,External balance on goods and services (current LCU),2003,31398000000.0
South Africa,External balance on goods and services (current LCU),2004,-2124000000.0
South Africa,External balance on goods and services (current LCU),2005,-4193000000.0
South Africa,External balance on goods and services (current LCU),2006,-32338000000.0
South Africa,External balance on goods and services (current LCU),2007,-28329000000.0
South Africa,External balance on goods and services (current LCU),2008,-38265000000.0
South Africa,External balance on goods and services (current LCU),2009,10561000000.0
South Africa,External balance on goods and services (current LCU),2010,35467971900.0
South Africa,External balance on goods and services (current LCU),2011,25283777500.0
South Africa,External balance on goods and services (current LCU),2012,-46517030700.0
South Africa,External balance on goods and services (current LCU),2013,-81878281299.9999
South Africa,External balance on goods and services (current LCU),2014,-61939284900.0
South Africa,External balance on goods and services (current LCU),2015,-57443748000.0
South Africa,External balance on goods and services (current LCU),2016,21461727900.0
South Africa,External balance on goods and services (current LCU),2017,58105651148.3499
South Africa,External balance on goods and services (current LCU),2018,27273388040.8601
South Africa,External balance on goods and services (current LCU),2019,28478305749.8499
South Africa,External balance on goods and services (current LCU),2020,243201250412.65
South Africa,External balance on goods and services (current LCU),2021,381096204987.15
South Africa,External balance on goods and services (current LCU),2022,133641928414.26
