Country or Area,Item,Year,Value
South Africa,External balance on goods and services (current US$),1985,5064892817.48124
South Africa,External balance on goods and services (current US$),1986,5755718081.84743
South Africa,External balance on goods and services (current US$),1987,8506247197.36861
South Africa,External balance on goods and services (current US$),1988,5982490186.79832
South Africa,External balance on goods and services (current US$),1989,5093650495.27639
South Africa,External balance on goods and services (current US$),1990,6132598158.4813
South Africa,External balance on goods and services (current US$),1991,5137769504.74683
South Africa,External balance on goods and services (current US$),1992,5274167658.36353
South Africa,External balance on goods and services (current US$),1993,6080039366.63298
South Africa,External balance on goods and services (current US$),1994,3045794213.01916
South Africa,External balance on goods and services (current US$),1995,1026444100.42775
South Africa,External balance on goods and services (current US$),1996,2204054613.84968
South Africa,External balance on goods and services (current US$),1997,1723321503.08531
South Africa,External balance on goods and services (current US$),1998,1534110765.65531
South Africa,External balance on goods and services (current US$),1999,3454792581.50115
South Africa,External balance on goods and services (current US$),2000,3927186668.02693
South Africa,External balance on goods and services (current US$),2001,4797436597.0468
South Africa,External balance on goods and services (current US$),2002,4384888471.37684
South Africa,External balance on goods and services (current US$),2003,4150567322.19403
South Africa,External balance on goods and services (current US$),2004,-328808195.683603
South Africa,External balance on goods and services (current US$),2005,-659346396.348797
South Africa,External balance on goods and services (current US$),2006,-4775569075.84956
South Africa,External balance on goods and services (current US$),2007,-4020941427.44911
South Africa,External balance on goods and services (current US$),2008,-4631880776.00617
South Africa,External balance on goods and services (current US$),2009,1246330694.33636
South Africa,External balance on goods and services (current US$),2010,4844542605.04599
South Africa,External balance on goods and services (current US$),2011,3482071046.22255
South Africa,External balance on goods and services (current US$),2012,-5665968002.04631
South Africa,External balance on goods and services (current US$),2013,-8484620142.58771
South Africa,External balance on goods and services (current US$),2014,-5711637794.62211
South Africa,External balance on goods and services (current US$),2015,-4505144658.72462
South Africa,External balance on goods and services (current US$),2016,1459108010.17078
South Africa,External balance on goods and services (current US$),2017,4364612604.94331
South Africa,External balance on goods and services (current US$),2018,2060869015.04966
South Africa,External balance on goods and services (current US$),2019,1971031569.72381
South Africa,External balance on goods and services (current US$),2020,14776092042.2253
South Africa,External balance on goods and services (current US$),2021,25786894131.3391
South Africa,External balance on goods and services (current US$),2022,8170893221.78794
