Country or Area,Item,Year,Value
South Africa,External balance on goods and services (% of GDP),1985,7.85749587564998
South Africa,External balance on goods and services (% of GDP),1986,7.84641267644286
South Africa,External balance on goods and services (% of GDP),1987,8.81149834647672
South Africa,External balance on goods and services (% of GDP),1988,5.75367615953432
South Africa,External balance on goods and services (% of GDP),1989,4.71391520669031
South Africa,External balance on goods and services (% of GDP),1990,4.86528254330368
South Africa,External balance on goods and services (% of GDP),1991,3.80002142818878
South Africa,External balance on goods and services (% of GDP),1992,3.58893970953496
South Africa,External balance on goods and services (% of GDP),1993,4.13060891586304
South Africa,External balance on goods and services (% of GDP),1994,1.98406644359411
South Africa,External balance on goods and services (% of GDP),1995,0.597687436248138
South Africa,External balance on goods and services (% of GDP),1996,1.35023470541686
South Africa,External balance on goods and services (% of GDP),1997,1.01984928122529
South Africa,External balance on goods and services (% of GDP),1998,1.0027982981868
South Africa,External balance on goods and services (% of GDP),1999,2.28013593205309
South Africa,External balance on goods and services (% of GDP),2000,2.58788488597607
South Africa,External balance on goods and services (% of GDP),2001,3.54237608330853
South Africa,External balance on goods and services (% of GDP),2002,3.39683280592358
South Africa,External balance on goods and services (% of GDP),2003,2.10668415382791
South Africa,External balance on goods and services (% of GDP),2004,-0.128537652673302
South Africa,External balance on goods and services (% of GDP),2005,-0.228252413945679
South Africa,External balance on goods and services (% of GDP),2006,-1.57164151069059
South Africa,External balance on goods and services (% of GDP),2007,-1.20721034834303
South Africa,External balance on goods and services (% of GDP),2008,-1.46517645748784
South Africa,External balance on goods and services (% of GDP),2009,0.377957648767233
South Africa,External balance on goods and services (% of GDP),2010,1.16074809084438
South Africa,External balance on goods and services (% of GDP),2011,0.759946504853332
South Africa,External balance on goods and services (% of GDP),2012,-1.3043188057987
South Africa,External balance on goods and services (% of GDP),2013,-2.11646698932911
South Africa,External balance on goods and services (% of GDP),2014,-1.498335448365
South Africa,External balance on goods and services (% of GDP),2015,-1.29939931974983
South Africa,External balance on goods and services (% of GDP),2016,0.45091883491279
South Africa,External balance on goods and services (% of GDP),2017,1.14421973204851
South Africa,External balance on goods and services (% of GDP),2018,0.50852917481203
South Africa,External balance on goods and services (% of GDP),2019,0.506262401202231
South Africa,External balance on goods and services (% of GDP),2020,4.36785925264607
South Africa,External balance on goods and services (% of GDP),2021,6.1380149487374
South Africa,External balance on goods and services (% of GDP),2022,2.0161561631645
