Country or Area,Item,Year,Value
South Africa,Food exports (% of merchandise exports),1992,8.15792764576279
South Africa,Food exports (% of merchandise exports),1993,6.47221509122488
South Africa,Food exports (% of merchandise exports),1994,8.56625118857189
South Africa,Food exports (% of merchandise exports),1995,7.9238024517281
South Africa,Food exports (% of merchandise exports),1996,11.0126307451145
South Africa,Food exports (% of merchandise exports),1997,10.8021096741242
South Africa,Food exports (% of merchandise exports),1998,12.0917978601925
South Africa,Food exports (% of merchandise exports),1999,10.1848714227841
South Africa,Food exports (% of merchandise exports),2000,8.48738189444231
South Africa,Food exports (% of merchandise exports),2001,9.01874151732256
South Africa,Food exports (% of merchandise exports),2002,10.6178049019352
South Africa,Food exports (% of merchandise exports),2003,9.88110234922858
South Africa,Food exports (% of merchandise exports),2004,8.71929341977066
South Africa,Food exports (% of merchandise exports),2005,8.49176860148819
South Africa,Food exports (% of merchandise exports),2006,7.09889941759981
South Africa,Food exports (% of merchandise exports),2007,6.58148755599139
South Africa,Food exports (% of merchandise exports),2008,7.33952536602517
South Africa,Food exports (% of merchandise exports),2009,10.1489122953572
South Africa,Food exports (% of merchandise exports),2010,9.96343194221399
South Africa,Food exports (% of merchandise exports),2011,8.34447855065674
South Africa,Food exports (% of merchandise exports),2012,8.85234120440493
South Africa,Food exports (% of merchandise exports),2013,9.82011647815854
South Africa,Food exports (% of merchandise exports),2014,10.2716537401097
South Africa,Food exports (% of merchandise exports),2015,10.6741823330449
South Africa,Food exports (% of merchandise exports),2016,11.1621285328149
South Africa,Food exports (% of merchandise exports),2017,10.896464687171
South Africa,Food exports (% of merchandise exports),2018,11.1095317645991
South Africa,Food exports (% of merchandise exports),2019,10.9754562147879
South Africa,Food exports (% of merchandise exports),2020,11.8465597035344
South Africa,Food exports (% of merchandise exports),2021,9.65735993643473
South Africa,Food exports (% of merchandise exports),2022,10.3922243694966
