Country or Area,Item,Year,Value
South Africa,Food imports (% of merchandise imports),1985,6.10895246519328
South Africa,Food imports (% of merchandise imports),1992,8.40312116158197
South Africa,Food imports (% of merchandise imports),1993,6.17220906343409
South Africa,Food imports (% of merchandise imports),1994,6.34422583091298
South Africa,Food imports (% of merchandise imports),1995,6.6828072955597
South Africa,Food imports (% of merchandise imports),1996,6.39838885649561
South Africa,Food imports (% of merchandise imports),1997,5.54856215146623
South Africa,Food imports (% of merchandise imports),1998,5.24007066174769
South Africa,Food imports (% of merchandise imports),1999,5.42150529350399
South Africa,Food imports (% of merchandise imports),2000,4.68584418898625
South Africa,Food imports (% of merchandise imports),2001,4.35460037690876
South Africa,Food imports (% of merchandise imports),2002,4.97409042536012
South Africa,Food imports (% of merchandise imports),2003,4.97803316819058
South Africa,Food imports (% of merchandise imports),2004,4.96272133282915
South Africa,Food imports (% of merchandise imports),2005,4.45358919883243
South Africa,Food imports (% of merchandise imports),2006,4.36740647169694
South Africa,Food imports (% of merchandise imports),2007,5.16879967398032
South Africa,Food imports (% of merchandise imports),2008,5.25924597498068
South Africa,Food imports (% of merchandise imports),2009,6.52906308437715
South Africa,Food imports (% of merchandise imports),2010,6.6273344501475
South Africa,Food imports (% of merchandise imports),2011,6.84792697409148
South Africa,Food imports (% of merchandise imports),2012,7.15985202302936
South Africa,Food imports (% of merchandise imports),2013,6.55170803769554
South Africa,Food imports (% of merchandise imports),2014,6.29231522968051
South Africa,Food imports (% of merchandise imports),2015,6.97820269395174
South Africa,Food imports (% of merchandise imports),2016,8.35925884365795
South Africa,Food imports (% of merchandise imports),2017,7.87838407329725
South Africa,Food imports (% of merchandise imports),2018,7.07452786511397
South Africa,Food imports (% of merchandise imports),2019,7.23422341886668
South Africa,Food imports (% of merchandise imports),2020,8.4019012309167
South Africa,Food imports (% of merchandise imports),2021,7.20423265995072
South Africa,Food imports (% of merchandise imports),2022,6.3766274385877
