Country or Area,Item,Year,Value
South Africa,Food production index (2014-2016 = 100),1985,56.17
South Africa,Food production index (2014-2016 = 100),1986,55.27
South Africa,Food production index (2014-2016 = 100),1987,58.16
South Africa,Food production index (2014-2016 = 100),1988,58.7
South Africa,Food production index (2014-2016 = 100),1989,61.76
South Africa,Food production index (2014-2016 = 100),1990,61.55
South Africa,Food production index (2014-2016 = 100),1991,64.06
South Africa,Food production index (2014-2016 = 100),1992,54.95
South Africa,Food production index (2014-2016 = 100),1993,61.06
South Africa,Food production index (2014-2016 = 100),1994,62.31
South Africa,Food production index (2014-2016 = 100),1995,55.34
South Africa,Food production index (2014-2016 = 100),1996,64.24
South Africa,Food production index (2014-2016 = 100),1997,70.72
South Africa,Food production index (2014-2016 = 100),1998,62.64
South Africa,Food production index (2014-2016 = 100),1999,67.7
South Africa,Food production index (2014-2016 = 100),2000,71.25
South Africa,Food production index (2014-2016 = 100),2001,68.23
South Africa,Food production index (2014-2016 = 100),2002,72.44
South Africa,Food production index (2014-2016 = 100),2003,72.87
South Africa,Food production index (2014-2016 = 100),2004,74.48
South Africa,Food production index (2014-2016 = 100),2005,79.19
South Africa,Food production index (2014-2016 = 100),2006,76.72
South Africa,Food production index (2014-2016 = 100),2007,78.79
South Africa,Food production index (2014-2016 = 100),2008,88.62
South Africa,Food production index (2014-2016 = 100),2009,87.39
South Africa,Food production index (2014-2016 = 100),2010,90.03
South Africa,Food production index (2014-2016 = 100),2011,89.21
South Africa,Food production index (2014-2016 = 100),2012,92.15
South Africa,Food production index (2014-2016 = 100),2013,97.4
South Africa,Food production index (2014-2016 = 100),2014,102.96
South Africa,Food production index (2014-2016 = 100),2015,100.99
South Africa,Food production index (2014-2016 = 100),2016,96.06
South Africa,Food production index (2014-2016 = 100),2017,105.85
South Africa,Food production index (2014-2016 = 100),2018,104.36
South Africa,Food production index (2014-2016 = 100),2019,104.48
South Africa,Food production index (2014-2016 = 100),2020,111.43
South Africa,Food production index (2014-2016 = 100),2021,114.24
South Africa,Food production index (2014-2016 = 100),2022,113.24
