Country or Area,Item,Year,Value
South Africa,Imports of goods and services (annual % growth),1985,-14.0362667746875
South Africa,Imports of goods and services (annual % growth),1986,-2.45212834316231
South Africa,Imports of goods and services (annual % growth),1987,3.4941721102999
South Africa,Imports of goods and services (annual % growth),1988,21.9088906411884
South Africa,Imports of goods and services (annual % growth),1989,0.318190519836875
South Africa,Imports of goods and services (annual % growth),1990,-5.83677163237041
South Africa,Imports of goods and services (annual % growth),1991,2.14264658920631
South Africa,Imports of goods and services (annual % growth),1992,5.34736209228919
South Africa,Imports of goods and services (annual % growth),1993,7.01743575183056
South Africa,Imports of goods and services (annual % growth),1994,16.0928327284233
South Africa,Imports of goods and services (annual % growth),1995,16.7908083430928
South Africa,Imports of goods and services (annual % growth),1996,8.71061513429929
South Africa,Imports of goods and services (annual % growth),1997,5.38515925323712
South Africa,Imports of goods and services (annual % growth),1998,2.01362691166538
South Africa,Imports of goods and services (annual % growth),1999,-8.36179765844346
South Africa,Imports of goods and services (annual % growth),2000,5.33755159922688
South Africa,Imports of goods and services (annual % growth),2001,0.249889197498604
South Africa,Imports of goods and services (annual % growth),2002,5.34158891345953
South Africa,Imports of goods and services (annual % growth),2003,8.08481950672746
South Africa,Imports of goods and services (annual % growth),2004,15.5078689697185
South Africa,Imports of goods and services (annual % growth),2005,10.8792596026712
South Africa,Imports of goods and services (annual % growth),2006,18.261114954788
South Africa,Imports of goods and services (annual % growth),2007,9.36634536230643
South Africa,Imports of goods and services (annual % growth),2008,2.80909733219414
South Africa,Imports of goods and services (annual % growth),2009,-17.6599354548662
South Africa,Imports of goods and services (annual % growth),2010,10.7937415055114
South Africa,Imports of goods and services (annual % growth),2011,11.8384578185201
South Africa,Imports of goods and services (annual % growth),2012,3.86834043977144
South Africa,Imports of goods and services (annual % growth),2013,4.03873071246994
South Africa,Imports of goods and services (annual % growth),2014,-0.687039526570203
South Africa,Imports of goods and services (annual % growth),2015,5.04486133069166
South Africa,Imports of goods and services (annual % growth),2016,-4.13324842492338
South Africa,Imports of goods and services (annual % growth),2017,1.53243060081874
South Africa,Imports of goods and services (annual % growth),2018,3.4791947539935
South Africa,Imports of goods and services (annual % growth),2019,0.553156477077408
South Africa,Imports of goods and services (annual % growth),2020,-17.5769053797949
South Africa,Imports of goods and services (annual % growth),2021,9.57980284154239
South Africa,Imports of goods and services (annual % growth),2022,14.8928110710897
