Country or Area,Item,Year,Value
South Africa,Imports of goods and services (constant 2015 US$),1985,21969303646.0743
South Africa,Imports of goods and services (constant 2015 US$),1986,21430588124.5736
South Africa,Imports of goods and services (constant 2015 US$),1987,22179409757.8956
South Africa,Imports of goods and services (constant 2015 US$),1988,27038672386.6141
South Africa,Imports of goods and services (constant 2015 US$),1989,27124706878.838
South Africa,Imports of goods and services (constant 2015 US$),1990,25541499682.3704
South Africa,Imports of goods and services (constant 2015 US$),1991,26088763754.1468
South Africa,Imports of goods and services (constant 2015 US$),1992,27483824417.483
South Africa,Imports of goods and services (constant 2015 US$),1993,29412484138.1257
South Africa,Imports of goods and services (constant 2015 US$),1994,34145786011.7484
South Africa,Imports of goods and services (constant 2015 US$),1995,39879139498.2236
South Africa,Imports of goods and services (constant 2015 US$),1996,43352857858.7842
South Africa,Imports of goods and services (constant 2015 US$),1997,45687478295.3093
South Africa,Imports of goods and services (constant 2015 US$),1998,46607453653.5249
South Africa,Imports of goods and services (constant 2015 US$),1999,42710232685.2643
South Africa,Imports of goods and services (constant 2015 US$),2000,44989913392.9902
South Africa,Imports of goods and services (constant 2015 US$),2001,45102338326.5232
South Africa,Imports of goods and services (constant 2015 US$),2002,47511519830.2838
South Africa,Imports of goods and services (constant 2015 US$),2003,51352740453.4653
South Africa,Imports of goods and services (constant 2015 US$),2004,59316456155.3483
South Africa,Imports of goods and services (constant 2015 US$),2005,65769647407.5933
South Africa,Imports of goods and services (constant 2015 US$),2006,77779918326.0527
South Africa,Imports of goods and services (constant 2015 US$),2007,85065054098.9906
South Africa,Imports of goods and services (constant 2015 US$),2008,87454614264.3149
South Africa,Imports of goods and services (constant 2015 US$),2009,72010185832.9346
South Africa,Imports of goods and services (constant 2015 US$),2010,79782779149.38
South Africa,Imports of goods and services (constant 2015 US$),2011,89227829805.4224
South Africa,Imports of goods and services (constant 2015 US$),2012,92679466029.316
South Africa,Imports of goods and services (constant 2015 US$),2013,96422540087.9952
South Africa,Imports of goods and services (constant 2015 US$),2014,95760079125.0676
South Africa,Imports of goods and services (constant 2015 US$),2015,100591042327.088
South Africa,Imports of goods and services (constant 2015 US$),2016,96433364654.4895
South Africa,Imports of goods and services (constant 2015 US$),2017,97911139043.8541
South Africa,Imports of goods and services (constant 2015 US$),2018,101317658257.043
South Africa,Imports of goods and services (constant 2015 US$),2019,101878103446.115
South Africa,Imports of goods and services (constant 2015 US$),2020,83971085600.6619
South Africa,Imports of goods and services (constant 2015 US$),2021,92015350045.1081
South Africa,Imports of goods and services (constant 2015 US$),2022,105719022283.728
