Country or Area,Item,Year,Value
South Africa,Imports of goods and services (constant LCU),1985,280124000000.0
South Africa,Imports of goods and services (constant LCU),1986,273255000000.0
South Africa,Imports of goods and services (constant LCU),1987,282803000000.0
South Africa,Imports of goods and services (constant LCU),1988,344762000000.0
South Africa,Imports of goods and services (constant LCU),1989,345859000000.0
South Africa,Imports of goods and services (constant LCU),1990,325672000000.0
South Africa,Imports of goods and services (constant LCU),1991,332650000000.0
South Africa,Imports of goods and services (constant LCU),1992,350438000000.0
South Africa,Imports of goods and services (constant LCU),1993,375029761500.0
South Africa,Imports of goods and services (constant LCU),1994,435382673700.0
South Africa,Imports of goods and services (constant LCU),1995,508486944000.0
South Africa,Imports of goods and services (constant LCU),1996,552779284700.0
South Africa,Imports of goods and services (constant LCU),1997,582547329500.0
South Africa,Imports of goods and services (constant LCU),1998,594277659300.0
South Africa,Imports of goods and services (constant LCU),1999,544585363900.0
South Africa,Imports of goods and services (constant LCU),2000,573652888700.0
South Africa,Imports of goods and services (constant LCU),2001,575086385300.0
South Africa,Imports of goods and services (constant LCU),2002,605805135900.0
South Africa,Imports of goods and services (constant LCU),2003,654783387700.0
South Africa,Imports of goods and services (constant LCU),2004,756326337500.0
South Africa,Imports of goods and services (constant LCU),2005,838609043200.0
South Africa,Imports of goods and services (constant LCU),2006,991748404600.0
South Africa,Imports of goods and services (constant LCU),2007,1084638985300.0
South Africa,Imports of goods and services (constant LCU),2008,1115107550100.0
South Africa,Imports of goods and services (constant LCU),2009,918180276500.0
South Africa,Imports of goods and services (constant LCU),2010,1017286282100.0
South Africa,Imports of goods and services (constant LCU),2011,1137717289500.0
South Africa,Imports of goods and services (constant LCU),2012,1181728067500.0
South Africa,Imports of goods and services (constant LCU),2013,1229454881900.0
South Africa,Imports of goods and services (constant LCU),2014,1221008040900.0
South Africa,Imports of goods and services (constant LCU),2015,1282606203400.0
South Africa,Imports of goods and services (constant LCU),2016,1229592902700.0
South Africa,Imports of goods and services (constant LCU),2017,1248435560606.47
South Africa,Imports of goods and services (constant LCU),2018,1291871065138.08
South Africa,Imports of goods and services (constant LCU),2019,1299017133610.38
South Africa,Imports of goods and services (constant LCU),2020,1070690121168.36
South Africa,Imports of goods and services (constant LCU),2021,1173260123820.16
South Africa,Imports of goods and services (constant LCU),2022,1347991537433.13
