Country or Area,Item,Year,Value
South Africa,Imports of goods and services (current LCU),1985,28797000000.0
South Africa,Imports of goods and services (current LCU),1986,32520000000.0
South Africa,Imports of goods and services (current LCU),1987,35536000000.0
South Africa,Imports of goods and services (current LCU),1988,47393000000.0
South Africa,Imports of goods and services (current LCU),1989,53825000000.0
South Africa,Imports of goods and services (current LCU),1990,54376000000.0
South Africa,Imports of goods and services (current LCU),1991,58020000000.0
South Africa,Imports of goods and services (current LCU),1992,64403000000.0
South Africa,Imports of goods and services (current LCU),1993,75919000000.0
South Africa,Imports of goods and services (current LCU),1994,95747000000.0
South Africa,Imports of goods and services (current LCU),1995,121093000000.0
South Africa,Imports of goods and services (current LCU),1996,143340000000.0
South Africa,Imports of goods and services (current LCU),1997,160718000000.0
South Africa,Imports of goods and services (current LCU),1998,181972000000.0
South Africa,Imports of goods and services (current LCU),1999,185037000000.0
South Africa,Imports of goods and services (current LCU),2000,229757000000.0
South Africa,Imports of goods and services (current LCU),2001,266001000000.0
South Africa,Imports of goods and services (current LCU),2002,340637000000.0
South Africa,Imports of goods and services (current LCU),2003,325035000000.0
South Africa,Imports of goods and services (current LCU),2004,378177000000.0
South Africa,Imports of goods and services (current LCU),2005,437721000000.0
South Africa,Imports of goods and services (current LCU),2006,569334000000.0
South Africa,Imports of goods and services (current LCU),2007,684428000000.0
South Africa,Imports of goods and services (current LCU),2008,880638000000.0
South Africa,Imports of goods and services (current LCU),2009,687514000000.0
South Africa,Imports of goods and services (current LCU),2010,752373540900.0
South Africa,Imports of goods and services (current LCU),2011,896246644200.0
South Africa,Imports of goods and services (current LCU),2012,1014403586200.0
South Africa,Imports of goods and services (current LCU),2013,1179767692700.0
South Africa,Imports of goods and services (current LCU),2014,1260788062900.0
South Africa,Imports of goods and services (current LCU),2015,1282606203400.0
South Africa,Imports of goods and services (current LCU),2016,1318642646200.0
South Africa,Imports of goods and services (current LCU),2017,1330275322528.04
South Africa,Imports of goods and services (current LCU),2018,1447445077179.18
South Africa,Imports of goods and services (current LCU),2019,1501697659125.83
South Africa,Imports of goods and services (current LCU),2020,1289514404619.85
South Africa,Imports of goods and services (current LCU),2021,1550539026375.62
South Africa,Imports of goods and services (current LCU),2022,2089470870799.28
