Country or Area,Item,Year,Value
South Africa,Imports of goods and services (current US$),1985,12921130267.9843
South Africa,Imports of goods and services (current US$),1986,14231748176.8308
South Africa,Imports of goods and services (current US$),1987,17453548149.7598
South Africa,Imports of goods and services (current US$),1988,20846125830.6693
South Africa,Imports of goods and services (current US$),1989,20522923714.9676
South Africa,Imports of goods and services (current US$),1990,21016333110.5804
South Africa,Imports of goods and services (current US$),1991,21011728107.8037
South Africa,Imports of goods and services (current US$),1992,22581586205.3973
South Africa,Imports of goods and services (current US$),1993,23232862325.1162
South Africa,Imports of goods and services (current US$),1994,26964924504.2945
South Africa,Imports of goods and services (current US$),1995,33385762947.3806
South Africa,Imports of goods and services (current US$),1996,33339931231.4492
South Africa,Imports of goods and services (current US$),1997,34878325819.5272
South Africa,Imports of goods and services (current US$),1998,32916543361.3758
South Africa,Imports of goods and services (current US$),1999,30286845828.5512
South Africa,Imports of goods and services (current US$),2000,33107016485.1348
South Africa,Imports of goods and services (current US$),2001,30897364104.6692
South Africa,Imports of goods and services (current US$),2002,32316210606.3261
South Africa,Imports of goods and services (current US$),2003,42967056805.1894
South Africa,Imports of goods and services (current US$),2004,58544113474.1233
South Africa,Imports of goods and services (current US$),2005,68831329348.0066
South Africa,Imports of goods and services (current US$),2006,84077365459.513
South Africa,Imports of goods and services (current US$),2007,97145854047.3063
South Africa,Imports of goods and services (current US$),2008,106598986614.936
South Africa,Imports of goods and services (current US$),2009,81135290312.0889
South Africa,Imports of goods and services (current US$),2010,102766114850.772
South Africa,Imports of goods and services (current US$),2011,123430705322.531
South Africa,Imports of goods and services (current US$),2012,123558580031.425
South Africa,Imports of goods and services (current US$),2013,122253185705.996
South Africa,Imports of goods and services (current US$),2014,116261670807.052
South Africa,Imports of goods and services (current US$),2015,100591042327.088
South Africa,Imports of goods and services (current US$),2016,89649913398.7817
South Africa,Imports of goods and services (current US$),2017,99923782386.1097
South Africa,Imports of goods and services (current US$),2018,109373822792.963
South Africa,Imports of goods and services (current US$),2019,103935027607.215
South Africa,Imports of goods and services (current US$),2020,78346568942.8344
South Africa,Imports of goods and services (current US$),2021,104917302236.074
South Africa,Imports of goods and services (current US$),2022,127750651146.063
