Country or Area,Item,Year,Value
South Africa,Imports of goods and services (% of GDP),1985,20.0453852525773
South Africa,Imports of goods and services (% of GDP),1986,19.4012576214965
South Africa,Imports of goods and services (% of GDP),1987,18.0798778936657
South Africa,Imports of goods and services (% of GDP),1988,20.0488180449092
South Africa,Imports of goods and services (% of GDP),1989,18.9929250692496
South Africa,Imports of goods and services (% of GDP),1990,16.6732591904381
South Africa,Imports of goods and services (% of GDP),1991,15.5407939143944
South Africa,Imports of goods and services (% of GDP),1992,15.3662068949062
South Africa,Imports of goods and services (% of GDP),1993,15.7837577150899
South Africa,Imports of goods and services (% of GDP),1994,17.5652713615169
South Africa,Imports of goods and services (% of GDP),1995,19.4401731715272
South Africa,Imports of goods and services (% of GDP),1996,20.4245085135556
South Africa,Imports of goods and services (% of GDP),1997,20.6407425739789
South Africa,Imports of goods and services (% of GDP),1998,21.5164735193548
South Africa,Imports of goods and services (% of GDP),1999,19.9890800426071
South Africa,Imports of goods and services (% of GDP),2000,21.8164184247158
South Africa,Imports of goods and services (% of GDP),2001,22.8142845512603
South Africa,Imports of goods and services (% of GDP),2002,25.0343344117566
South Africa,Imports of goods and services (% of GDP),2003,21.8085892075755
South Africa,Imports of goods and services (% of GDP),2004,22.8860564383387
South Africa,Imports of goods and services (% of GDP),2005,23.8280169054893
South Africa,Imports of goods and services (% of GDP),2006,27.6698913924026
South Africa,Imports of goods and services (% of GDP),2007,29.166174743045
South Africa,Imports of goods and services (% of GDP),2008,33.7198501285556
South Africa,Imports of goods and services (% of GDP),2009,24.6047888395564
South Africa,Imports of goods and services (% of GDP),2010,24.6226695358778
South Africa,Imports of goods and services (% of GDP),2011,26.9382019655219
South Africa,Imports of goods and services (% of GDP),2012,28.4434679995666
South Africa,Imports of goods and services (% of GDP),2013,30.4957473096901
South Africa,Imports of goods and services (% of GDP),2014,30.4989547517121
South Africa,Imports of goods and services (% of GDP),2015,29.0130377322327
South Africa,Imports of goods and services (% of GDP),2016,27.7051693349827
South Africa,Imports of goods and services (% of GDP),2017,26.1958560486248
South Africa,Imports of goods and services (% of GDP),2018,26.9885079763801
South Africa,Imports of goods and services (% of GDP),2019,26.695867003704
South Africa,Imports of goods and services (% of GDP),2020,23.1594920424234
South Africa,Imports of goods and services (% of GDP),2021,24.9733048976837
South Africa,Imports of goods and services (% of GDP),2022,31.5222896279694
