Country or Area,Item,Year,Value
South Africa,"Imports of goods, services and primary income (BoP, current US$)",1985,16565966360.0165
South Africa,"Imports of goods, services and primary income (BoP, current US$)",1986,18342253975.0431
South Africa,"Imports of goods, services and primary income (BoP, current US$)",1987,21948460429.5607
South Africa,"Imports of goods, services and primary income (BoP, current US$)",1988,25240482900.9135
South Africa,"Imports of goods, services and primary income (BoP, current US$)",1989,25076959106.3869
South Africa,"Imports of goods, services and primary income (BoP, current US$)",1990,25945401026.5288
South Africa,"Imports of goods, services and primary income (BoP, current US$)",1991,25086038246.3983
South Africa,"Imports of goods, services and primary income (BoP, current US$)",1992,26477985341.0786
South Africa,"Imports of goods, services and primary income (BoP, current US$)",1993,26545255405.154
South Africa,"Imports of goods, services and primary income (BoP, current US$)",1994,30335011286.9587
South Africa,"Imports of goods, services and primary income (BoP, current US$)",1995,37385815341.865
South Africa,"Imports of goods, services and primary income (BoP, current US$)",1996,37497112434.0074
South Africa,"Imports of goods, services and primary income (BoP, current US$)",1997,39462921688.9727
South Africa,"Imports of goods, services and primary income (BoP, current US$)",1998,37524434018.2561
South Africa,"Imports of goods, services and primary income (BoP, current US$)",1999,35283791335.8148
South Africa,"Imports of goods, services and primary income (BoP, current US$)",2000,38770631322.3622
South Africa,"Imports of goods, services and primary income (BoP, current US$)",2001,37307709474.2067
South Africa,"Imports of goods, services and primary income (BoP, current US$)",2002,37495238158.5023
South Africa,"Imports of goods, services and primary income (BoP, current US$)",2003,50760852745.5313
South Africa,"Imports of goods, services and primary income (BoP, current US$)",2004,66422893492.5015
South Africa,"Imports of goods, services and primary income (BoP, current US$)",2005,78292398046.6872
South Africa,"Imports of goods, services and primary income (BoP, current US$)",2006,94869913141.0123
South Africa,"Imports of goods, services and primary income (BoP, current US$)",2007,114040324184.299
South Africa,"Imports of goods, services and primary income (BoP, current US$)",2008,122846814242.72
South Africa,"Imports of goods, services and primary income (BoP, current US$)",2009,92698778581.3177
South Africa,"Imports of goods, services and primary income (BoP, current US$)",2010,115807321518.336
South Africa,"Imports of goods, services and primary income (BoP, current US$)",2011,139553102361.959
South Africa,"Imports of goods, services and primary income (BoP, current US$)",2012,140419306623.633
South Africa,"Imports of goods, services and primary income (BoP, current US$)",2013,138571048503.677
South Africa,"Imports of goods, services and primary income (BoP, current US$)",2014,133206196495.995
South Africa,"Imports of goods, services and primary income (BoP, current US$)",2015,116557965755.838
South Africa,"Imports of goods, services and primary income (BoP, current US$)",2016,104131108724.041
South Africa,"Imports of goods, services and primary income (BoP, current US$)",2017,116482572774.862
South Africa,"Imports of goods, services and primary income (BoP, current US$)",2018,128770770519.325
South Africa,"Imports of goods, services and primary income (BoP, current US$)",2019,122190279879.867
South Africa,"Imports of goods, services and primary income (BoP, current US$)",2020,92670233563.8216
South Africa,"Imports of goods, services and primary income (BoP, current US$)",2021,124296327238.366
South Africa,"Imports of goods, services and primary income (BoP, current US$)",2022,147611415605.777
