Country or Area,Item,Year,Value
South Africa,Manufactures exports (% of merchandise exports),1992,28.4493001113036
South Africa,Manufactures exports (% of merchandise exports),1993,38.635300811958
South Africa,Manufactures exports (% of merchandise exports),1994,38.8613324979083
South Africa,Manufactures exports (% of merchandise exports),1995,42.8365512635912
South Africa,Manufactures exports (% of merchandise exports),1996,54.2731853529737
South Africa,Manufactures exports (% of merchandise exports),1997,57.3106211584708
South Africa,Manufactures exports (% of merchandise exports),1998,53.0790421979104
South Africa,Manufactures exports (% of merchandise exports),1999,54.7716889849147
South Africa,Manufactures exports (% of merchandise exports),2000,53.2483564625615
South Africa,Manufactures exports (% of merchandise exports),2001,52.8232730110152
South Africa,Manufactures exports (% of merchandise exports),2002,61.3015418957941
South Africa,Manufactures exports (% of merchandise exports),2003,57.0750718128623
South Africa,Manufactures exports (% of merchandise exports),2004,56.4914092599657
South Africa,Manufactures exports (% of merchandise exports),2005,55.4860966879927
South Africa,Manufactures exports (% of merchandise exports),2006,51.9811661200121
South Africa,Manufactures exports (% of merchandise exports),2007,50.711826121429
South Africa,Manufactures exports (% of merchandise exports),2008,51.5077988616118
South Africa,Manufactures exports (% of merchandise exports),2009,46.8147314955972
South Africa,Manufactures exports (% of merchandise exports),2010,48.6963179692186
South Africa,Manufactures exports (% of merchandise exports),2011,41.1165116434021
South Africa,Manufactures exports (% of merchandise exports),2012,43.490325139464
South Africa,Manufactures exports (% of merchandise exports),2013,42.3804651604655
South Africa,Manufactures exports (% of merchandise exports),2014,45.7884422856055
South Africa,Manufactures exports (% of merchandise exports),2015,47.6453014628551
South Africa,Manufactures exports (% of merchandise exports),2016,47.708438095805
South Africa,Manufactures exports (% of merchandise exports),2017,44.0297498303507
South Africa,Manufactures exports (% of merchandise exports),2018,43.4558465114563
South Africa,Manufactures exports (% of merchandise exports),2019,42.9742326978661
South Africa,Manufactures exports (% of merchandise exports),2020,38.3879710523322
South Africa,Manufactures exports (% of merchandise exports),2021,36.0522527481127
South Africa,Manufactures exports (% of merchandise exports),2022,37.2933610998316
