Country or Area,Item,Year,Value
South Africa,Manufactures imports (% of merchandise imports),1985,70.0058106695847
South Africa,Manufactures imports (% of merchandise imports),1992,75.1580423647935
South Africa,Manufactures imports (% of merchandise imports),1993,80.4570375873309
South Africa,Manufactures imports (% of merchandise imports),1994,83.5821520260523
South Africa,Manufactures imports (% of merchandise imports),1995,77.8101766194904
South Africa,Manufactures imports (% of merchandise imports),1996,71.5512129600595
South Africa,Manufactures imports (% of merchandise imports),1997,68.8399366950325
South Africa,Manufactures imports (% of merchandise imports),1998,75.5325516255015
South Africa,Manufactures imports (% of merchandise imports),1999,72.2337098802185
South Africa,Manufactures imports (% of merchandise imports),2000,68.2345861404177
South Africa,Manufactures imports (% of merchandise imports),2001,69.0150361165635
South Africa,Manufactures imports (% of merchandise imports),2002,69.2650308442721
South Africa,Manufactures imports (% of merchandise imports),2003,69.5166539191339
South Africa,Manufactures imports (% of merchandise imports),2004,68.0077885269723
South Africa,Manufactures imports (% of merchandise imports),2005,68.9043682983567
South Africa,Manufactures imports (% of merchandise imports),2006,65.3405592390783
South Africa,Manufactures imports (% of merchandise imports),2007,64.6984754344004
South Africa,Manufactures imports (% of merchandise imports),2008,61.4101371561555
South Africa,Manufactures imports (% of merchandise imports),2009,63.7818018155028
South Africa,Manufactures imports (% of merchandise imports),2010,64.7327062733788
South Africa,Manufactures imports (% of merchandise imports),2011,63.0142610911376
South Africa,Manufactures imports (% of merchandise imports),2012,61.5633171308934
South Africa,Manufactures imports (% of merchandise imports),2013,62.7883489364468
South Africa,Manufactures imports (% of merchandise imports),2014,60.7499573904519
South Africa,Manufactures imports (% of merchandise imports),2015,66.379846543014
South Africa,Manufactures imports (% of merchandise imports),2016,66.3938595605789
South Africa,Manufactures imports (% of merchandise imports),2017,65.1027888353477
South Africa,Manufactures imports (% of merchandise imports),2018,62.2396126851049
South Africa,Manufactures imports (% of merchandise imports),2019,63.4479286797739
South Africa,Manufactures imports (% of merchandise imports),2020,65.7571534023594
South Africa,Manufactures imports (% of merchandise imports),2021,63.6392994847975
South Africa,Manufactures imports (% of merchandise imports),2022,60.1568694594855
