Country or Area,Item,Year,Value
South Africa,"Manufacturing, value added (annual % growth)",1985,-3.28999285470371
South Africa,"Manufacturing, value added (annual % growth)",1986,-0.163493721366351
South Africa,"Manufacturing, value added (annual % growth)",1987,2.20498417368819
South Africa,"Manufacturing, value added (annual % growth)",1988,6.50684533156529
South Africa,"Manufacturing, value added (annual % growth)",1989,1.86834489160705
South Africa,"Manufacturing, value added (annual % growth)",1990,-2.24736868907513
South Africa,"Manufacturing, value added (annual % growth)",1991,-4.5684611124211
South Africa,"Manufacturing, value added (annual % growth)",1992,-3.27935734479509
South Africa,"Manufacturing, value added (annual % growth)",1993,-0.182107817800514
South Africa,"Manufacturing, value added (annual % growth)",1994,2.69999999636936
South Africa,"Manufacturing, value added (annual % growth)",1995,6.50000001072148
South Africa,"Manufacturing, value added (annual % growth)",1996,1.4000000005986
South Africa,"Manufacturing, value added (annual % growth)",1997,2.69999998483949
South Africa,"Manufacturing, value added (annual % growth)",1998,-0.20000000663633
South Africa,"Manufacturing, value added (annual % growth)",1999,0.600000018325787
South Africa,"Manufacturing, value added (annual % growth)",2000,8.09999999245316
South Africa,"Manufacturing, value added (annual % growth)",2001,3.20000000712577
South Africa,"Manufacturing, value added (annual % growth)",2002,2.79999998852307
South Africa,"Manufacturing, value added (annual % growth)",2003,-1.50423702433929
South Africa,"Manufacturing, value added (annual % growth)",2004,4.89463886815473
South Africa,"Manufacturing, value added (annual % growth)",2005,6.20416863081257
South Africa,"Manufacturing, value added (annual % growth)",2006,6.43818434278217
South Africa,"Manufacturing, value added (annual % growth)",2007,5.35233006827391
South Africa,"Manufacturing, value added (annual % growth)",2008,2.31506209622508
South Africa,"Manufacturing, value added (annual % growth)",2009,-10.626967095269
South Africa,"Manufacturing, value added (annual % growth)",2010,5.90733280124962
South Africa,"Manufacturing, value added (annual % growth)",2011,3.03401859498847
South Africa,"Manufacturing, value added (annual % growth)",2012,2.09644941094227
South Africa,"Manufacturing, value added (annual % growth)",2013,1.01847543536699
South Africa,"Manufacturing, value added (annual % growth)",2014,-0.645226196913299
South Africa,"Manufacturing, value added (annual % growth)",2015,-0.185399244282692
South Africa,"Manufacturing, value added (annual % growth)",2016,0.44947315357345
South Africa,"Manufacturing, value added (annual % growth)",2017,-0.18836458644563
South Africa,"Manufacturing, value added (annual % growth)",2018,1.51704365266787
South Africa,"Manufacturing, value added (annual % growth)",2019,-0.697416661969015
South Africa,"Manufacturing, value added (annual % growth)",2020,-11.7357752953288
South Africa,"Manufacturing, value added (annual % growth)",2021,6.69055802471321
South Africa,"Manufacturing, value added (annual % growth)",2022,-0.368323569778212
