Country or Area,Item,Year,Value
South Africa,"Manufacturing, value added (constant 2015 US$)",1985,26431174870.8304
South Africa,"Manufacturing, value added (constant 2015 US$)",1986,26387961559.4333
South Africa,"Manufacturing, value added (constant 2015 US$)",1987,26969811935.5777
South Africa,"Manufacturing, value added (constant 2015 US$)",1988,28724695884.4398
South Africa,"Manufacturing, value added (constant 2015 US$)",1989,29261372272.6264
South Africa,"Manufacturing, value added (constant 2015 US$)",1990,28603761354.1777
South Africa,"Manufacturing, value added (constant 2015 US$)",1991,27297009640.0223
South Africa,"Manufacturing, value added (constant 2015 US$)",1992,26401843149.4828
South Africa,"Manufacturing, value added (constant 2015 US$)",1993,26353763329.0642
South Africa,"Manufacturing, value added (constant 2015 US$)",1994,27065314937.9921
South Africa,"Manufacturing, value added (constant 2015 US$)",1995,28824560411.8634
South Africa,"Manufacturing, value added (constant 2015 US$)",1996,29228104257.802
South Africa,"Manufacturing, value added (constant 2015 US$)",1997,30017263068.3315
South Africa,"Manufacturing, value added (constant 2015 US$)",1998,29957228540.2028
South Africa,"Manufacturing, value added (constant 2015 US$)",1999,30136971916.934
South Africa,"Manufacturing, value added (constant 2015 US$)",2000,32578066639.9312
South Africa,"Manufacturing, value added (constant 2015 US$)",2001,33620564774.7304
South Africa,"Manufacturing, value added (constant 2015 US$)",2002,34561940584.5643
South Africa,"Manufacturing, value added (constant 2015 US$)",2003,34042047077.9611
South Africa,"Manufacturing, value added (constant 2015 US$)",2004,35708282345.7545
South Africa,"Manufacturing, value added (constant 2015 US$)",2005,37923684397.6518
South Africa,"Manufacturing, value added (constant 2015 US$)",2006,40365281108.7476
South Africa,"Manufacturing, value added (constant 2015 US$)",2007,42525764186.6744
South Africa,"Manufacturing, value added (constant 2015 US$)",2008,43510262034.4901
South Africa,"Manufacturing, value added (constant 2015 US$)",2009,38886440805.0195
South Africa,"Manufacturing, value added (constant 2015 US$)",2010,41183592277.933
South Africa,"Manufacturing, value added (constant 2015 US$)",2011,42433110125.7297
South Africa,"Manufacturing, value added (constant 2015 US$)",2012,43322698813.005
South Africa,"Manufacturing, value added (constant 2015 US$)",2013,43763929858.3535
South Africa,"Manufacturing, value added (constant 2015 US$)",2014,43481553518.1087
South Africa,"Manufacturing, value added (constant 2015 US$)",2015,43400939046.4837
South Africa,"Manufacturing, value added (constant 2015 US$)",2016,43596014615.8964
South Africa,"Manufacturing, value added (constant 2015 US$)",2017,43513895163.2584
South Africa,"Manufacturing, value added (constant 2015 US$)",2018,44174019947.8612
South Africa,"Manufacturing, value added (constant 2015 US$)",2019,43865942972.4833
South Africa,"Manufacturing, value added (constant 2015 US$)",2020,38717934474.0556
South Africa,"Manufacturing, value added (constant 2015 US$)",2021,41308380346.0127
South Africa,"Manufacturing, value added (constant 2015 US$)",2022,41156231844.9047
