Country or Area,Item,Year,Value
South Africa,"Manufacturing, value added (constant LCU)",1985,337016000000.0
South Africa,"Manufacturing, value added (constant LCU)",1986,336465000000.0
South Africa,"Manufacturing, value added (constant LCU)",1987,343884000000.0
South Africa,"Manufacturing, value added (constant LCU)",1988,366260000000.0
South Africa,"Manufacturing, value added (constant LCU)",1989,373103000000.0
South Africa,"Manufacturing, value added (constant LCU)",1990,364718000000.0
South Africa,"Manufacturing, value added (constant LCU)",1991,348056000000.0
South Africa,"Manufacturing, value added (constant LCU)",1992,336642000000.0
South Africa,"Manufacturing, value added (constant LCU)",1993,336028948600.0
South Africa,"Manufacturing, value added (constant LCU)",1994,345101730200.0
South Africa,"Manufacturing, value added (constant LCU)",1995,367533342700.0
South Africa,"Manufacturing, value added (constant LCU)",1996,372678809500.0
South Africa,"Manufacturing, value added (constant LCU)",1997,382741137300.0
South Africa,"Manufacturing, value added (constant LCU)",1998,381975655000.0
South Africa,"Manufacturing, value added (constant LCU)",1999,384267509000.0
South Africa,"Manufacturing, value added (constant LCU)",2000,415393177200.0
South Africa,"Manufacturing, value added (constant LCU)",2001,428685758900.0
South Africa,"Manufacturing, value added (constant LCU)",2002,440688960100.0
South Africa,"Manufacturing, value added (constant LCU)",2003,434059953600.0
South Africa,"Manufacturing, value added (constant LCU)",2004,455305620800.0
South Africa,"Manufacturing, value added (constant LCU)",2005,483553549300.0
South Africa,"Manufacturing, value added (constant LCU)",2006,514685618200.0
South Africa,"Manufacturing, value added (constant LCU)",2007,542233291300.0
South Africa,"Manufacturing, value added (constant LCU)",2008,554786328700.0
South Africa,"Manufacturing, value added (constant LCU)",2009,495829368100.0
South Africa,"Manufacturing, value added (constant LCU)",2010,525119659000.0
South Africa,"Manufacturing, value added (constant LCU)",2011,541051887100.0
South Africa,"Manufacturing, value added (constant LCU)",2012,552394766200.0
South Africa,"Manufacturing, value added (constant LCU)",2013,558020771200.0
South Africa,"Manufacturing, value added (constant LCU)",2014,554420275000.0
South Africa,"Manufacturing, value added (constant LCU)",2015,553392384000.0
South Africa,"Manufacturing, value added (constant LCU)",2016,555879734200.0
South Africa,"Manufacturing, value added (constant LCU)",2017,554832653637.539
South Africa,"Manufacturing, value added (constant LCU)",2018,563249707192.476
South Africa,"Manufacturing, value added (constant LCU)",2019,559321509886.024
South Africa,"Manufacturing, value added (constant LCU)",2020,493680794307.36
South Africa,"Manufacturing, value added (constant LCU)",2021,526710794307.359
South Africa,"Manufacturing, value added (constant LCU)",2022,524770794307.359
