Country or Area,Item,Year,Value
South Africa,"Manufacturing, value added (current LCU)",1985,31836000000.0
South Africa,"Manufacturing, value added (current LCU)",1986,37471000000.0
South Africa,"Manufacturing, value added (current LCU)",1987,44765000000.0
South Africa,"Manufacturing, value added (current LCU)",1988,54499000000.0
South Africa,"Manufacturing, value added (current LCU)",1989,66559000000.0
South Africa,"Manufacturing, value added (current LCU)",1990,77434000000.0
South Africa,"Manufacturing, value added (current LCU)",1991,86385000000.0
South Africa,"Manufacturing, value added (current LCU)",1992,93485000000.0
South Africa,"Manufacturing, value added (current LCU)",1993,102870737600.0
South Africa,"Manufacturing, value added (current LCU)",1994,114556568100.0
South Africa,"Manufacturing, value added (current LCU)",1995,132346055400.0
South Africa,"Manufacturing, value added (current LCU)",1996,142236608300.0
South Africa,"Manufacturing, value added (current LCU)",1997,155055261900.0
South Africa,"Manufacturing, value added (current LCU)",1998,163461767900.0
South Africa,"Manufacturing, value added (current LCU)",1999,171494606700.0
South Africa,"Manufacturing, value added (current LCU)",2000,199762028100.0
South Africa,"Manufacturing, value added (current LCU)",2001,221959615600.0
South Africa,"Manufacturing, value added (current LCU)",2002,259511231800.0
South Africa,"Manufacturing, value added (current LCU)",2003,275755294300.0
South Africa,"Manufacturing, value added (current LCU)",2004,297269829100.0
South Africa,"Manufacturing, value added (current LCU)",2005,319097789800.0
South Africa,"Manufacturing, value added (current LCU)",2006,320892563300.0
South Africa,"Manufacturing, value added (current LCU)",2007,362367908000.0
South Africa,"Manufacturing, value added (current LCU)",2008,407641387500.0
South Africa,"Manufacturing, value added (current LCU)",2009,405381191200.0
South Africa,"Manufacturing, value added (current LCU)",2010,423494961000.0
South Africa,"Manufacturing, value added (current LCU)",2011,427917135300.0
South Africa,"Manufacturing, value added (current LCU)",2012,445177287600.0
South Africa,"Manufacturing, value added (current LCU)",2013,478424823500.0
South Africa,"Manufacturing, value added (current LCU)",2014,515936761100.0
South Africa,"Manufacturing, value added (current LCU)",2015,553392353500.0
South Africa,"Manufacturing, value added (current LCU)",2016,594165862100.0
South Africa,"Manufacturing, value added (current LCU)",2017,635418899252.002
South Africa,"Manufacturing, value added (current LCU)",2018,668094417030.36
South Africa,"Manufacturing, value added (current LCU)",2019,697575747713.031
South Africa,"Manufacturing, value added (current LCU)",2020,654549596257.842
South Africa,"Manufacturing, value added (current LCU)",2021,740232596257.841
South Africa,"Manufacturing, value added (current LCU)",2022,813121106428.995
