Country or Area,Item,Year,Value
South Africa,"Manufacturing, value added (current US$)",1985,14284720742.145
South Africa,"Manufacturing, value added (current US$)",1986,16398457439.5457
South Africa,"Manufacturing, value added (current US$)",1987,21986382342.5259
South Africa,"Manufacturing, value added (current US$)",1988,23971747128.176
South Africa,"Manufacturing, value added (current US$)",1989,25378268082.5736
South Africa,"Manufacturing, value added (current US$)",1990,29928253973.8981
South Africa,"Manufacturing, value added (current US$)",1991,31284007800.6312
South Africa,"Manufacturing, value added (current US$)",1992,32778590848.432
South Africa,"Manufacturing, value added (current US$)",1993,31480679196.8277
South Africa,"Manufacturing, value added (current US$)",1994,32262203622.9602
South Africa,"Manufacturing, value added (current US$)",1995,36488269615.9588
South Africa,"Manufacturing, value added (current US$)",1996,33083289656.1782
South Africa,"Manufacturing, value added (current US$)",1997,33649422868.5046
South Africa,"Manufacturing, value added (current US$)",1998,29568265288.1075
South Africa,"Manufacturing, value added (current US$)",1999,28070227649.3399
South Africa,"Manufacturing, value added (current US$)",2000,28784867305.0687
South Africa,"Manufacturing, value added (current US$)",2001,25781734127.7875
South Africa,"Manufacturing, value added (current US$)",2002,24619814117.5383
South Africa,"Manufacturing, value added (current US$)",2003,36452669387.9731
South Africa,"Manufacturing, value added (current US$)",2004,46019188388.6742
South Africa,"Manufacturing, value added (current US$)",2005,50177910276.0543
South Africa,"Manufacturing, value added (current US$)",2006,47388354318.9306
South Africa,"Manufacturing, value added (current US$)",2007,51433518064.7135
South Africa,"Manufacturing, value added (current US$)",2008,49343951555.3569
South Africa,"Manufacturing, value added (current US$)",2009,47840073998.5985
South Africa,"Manufacturing, value added (current US$)",2010,57844846256.5402
South Africa,"Manufacturing, value added (current US$)",2011,58932565239.139
South Africa,"Manufacturing, value added (current US$)",2012,54224447021.2792
South Africa,"Manufacturing, value added (current US$)",2013,49576674421.2555
South Africa,"Manufacturing, value added (current US$)",2014,47576330742.1342
South Africa,"Manufacturing, value added (current US$)",2015,43400939046.4837
South Africa,"Manufacturing, value added (current US$)",2016,40395264202.3822
South Africa,"Manufacturing, value added (current US$)",2017,47729562999.1964
South Africa,"Manufacturing, value added (current US$)",2018,50483463261.7985
South Africa,"Manufacturing, value added (current US$)",2019,48280393963.5111
South Africa,"Manufacturing, value added (current US$)",2020,39768237474.5068
South Africa,"Manufacturing, value added (current US$)",2021,50087876348.4691
South Africa,"Manufacturing, value added (current US$)",2022,49714380927.0599
