Country or Area,Item,Year,Value
South Africa,Merchandise exports (current US$),1985,16293000000.0
South Africa,Merchandise exports (current US$),1986,18385000000.0
South Africa,Merchandise exports (current US$),1987,21219000000.0
South Africa,Merchandise exports (current US$),1988,21871000000.0
South Africa,Merchandise exports (current US$),1989,22191000000.0
South Africa,Merchandise exports (current US$),1990,23549000000.0
South Africa,Merchandise exports (current US$),1991,23279000000.0
South Africa,Merchandise exports (current US$),1992,23440000000.0
South Africa,Merchandise exports (current US$),1993,24222000000.0
South Africa,Merchandise exports (current US$),1994,25308000000.0
South Africa,Merchandise exports (current US$),1995,27853000000.0
South Africa,Merchandise exports (current US$),1996,29221000000.0
South Africa,Merchandise exports (current US$),1997,31027000000.0
South Africa,Merchandise exports (current US$),1998,26362000000.0
South Africa,Merchandise exports (current US$),1999,26707000000.0
South Africa,Merchandise exports (current US$),2000,29983000000.0
South Africa,Merchandise exports (current US$),2001,29258000000.0
South Africa,Merchandise exports (current US$),2002,29723000000.0
South Africa,Merchandise exports (current US$),2003,36482000000.0
South Africa,Merchandise exports (current US$),2004,46146000000.0
South Africa,Merchandise exports (current US$),2005,51626000000.0
South Africa,Merchandise exports (current US$),2006,58175000000.0
South Africa,Merchandise exports (current US$),2007,69784000000.0
South Africa,Merchandise exports (current US$),2008,80782000000.0
South Africa,Merchandise exports (current US$),2009,61677000000.0
South Africa,Merchandise exports (current US$),2010,91347000000.0
South Africa,Merchandise exports (current US$),2011,108815000000.0
South Africa,Merchandise exports (current US$),2012,99606000000.0
South Africa,Merchandise exports (current US$),2013,96153000000.0
South Africa,Merchandise exports (current US$),2014,93043000000.0
South Africa,Merchandise exports (current US$),2015,81002000000.0
South Africa,Merchandise exports (current US$),2016,76214000000.0
South Africa,Merchandise exports (current US$),2017,88947000000.0
South Africa,Merchandise exports (current US$),2018,93970000000.0
South Africa,Merchandise exports (current US$),2019,90016000000.0
South Africa,Merchandise exports (current US$),2020,85834000000.0
South Africa,Merchandise exports (current US$),2021,123572000000.0
South Africa,Merchandise exports (current US$),2022,122901000000.0
