Country or Area,Item,Year,Value
South Africa,"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",1998,1.29827505548009
South Africa,"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",1999,0.180275691668138
South Africa,"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",2000,0.304624201046694
South Africa,"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",2001,0.5285174356082
South Africa,"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",2002,0.297924877493149
South Africa,"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",2003,0.173125315215258
South Africa,"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",2004,0.276748329964299
South Africa,"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",2005,0.460375907578701
South Africa,"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",2006,0.106529578192833
South Africa,"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",2007,0.1150918773373
South Africa,"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",2008,0.327647720510903
South Africa,"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",2009,0.0880078721475401
South Africa,"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",2010,1.05804070417165
South Africa,"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",2011,1.11399059964905
South Africa,"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",2012,0.79334950946199
South Africa,"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",2013,0.581497293429117
South Africa,"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",2014,0.615232159755211
South Africa,"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",2015,0.596222892340335
South Africa,"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",2016,0.891923929529708
South Africa,"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",2017,0.777207984742533
South Africa,"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",2018,0.905116767229755
South Africa,"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",2019,1.05623744203796
South Africa,"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",2020,0.708147877082839
