Country or Area,Item,Year,Value
South Africa,Merchandise imports (current US$),1985,11319000000.0
South Africa,Merchandise imports (current US$),1986,12992000000.0
South Africa,Merchandise imports (current US$),1987,15277000000.0
South Africa,Merchandise imports (current US$),1988,18723000000.0
South Africa,Merchandise imports (current US$),1989,18498000000.0
South Africa,Merchandise imports (current US$),1990,18399000000.0
South Africa,Merchandise imports (current US$),1991,18829000000.0
South Africa,Merchandise imports (current US$),1992,19738000000.0
South Africa,Merchandise imports (current US$),1993,19991000000.0
South Africa,Merchandise imports (current US$),1994,23363000000.0
South Africa,Merchandise imports (current US$),1995,30546000000.0
South Africa,Merchandise imports (current US$),1996,30182000000.0
South Africa,Merchandise imports (current US$),1997,32998000000.0
South Africa,Merchandise imports (current US$),1998,29242000000.0
South Africa,Merchandise imports (current US$),1999,26696000000.0
South Africa,Merchandise imports (current US$),2000,29695000000.0
South Africa,Merchandise imports (current US$),2001,28248000000.0
South Africa,Merchandise imports (current US$),2002,29267000000.0
South Africa,Merchandise imports (current US$),2003,39748000000.0
South Africa,Merchandise imports (current US$),2004,53466000000.0
South Africa,Merchandise imports (current US$),2005,62304000000.0
South Africa,Merchandise imports (current US$),2006,78715000000.0
South Africa,Merchandise imports (current US$),2007,88450000000.0
South Africa,Merchandise imports (current US$),2008,101640000000.0
South Africa,Merchandise imports (current US$),2009,74054000000.0
South Africa,Merchandise imports (current US$),2010,96835000000.0
South Africa,Merchandise imports (current US$),2011,124430000000.0
South Africa,Merchandise imports (current US$),2012,127154000000.0
South Africa,Merchandise imports (current US$),2013,126330000000.0
South Africa,Merchandise imports (current US$),2014,121950000000.0
South Africa,Merchandise imports (current US$),2015,104651000000.0
South Africa,Merchandise imports (current US$),2016,91692000000.0
South Africa,Merchandise imports (current US$),2017,101576000000.0
South Africa,Merchandise imports (current US$),2018,113971000000.0
South Africa,Merchandise imports (current US$),2019,107539000000.0
South Africa,Merchandise imports (current US$),2020,84063000000.0
South Africa,Merchandise imports (current US$),2021,113988000000.0
South Africa,Merchandise imports (current US$),2022,136208000000.0
