Country or Area,Item,Year,Value
South Africa,Ores and metals exports (% of merchandise exports),1992,10.1041673840215
South Africa,Ores and metals exports (% of merchandise exports),1993,7.68503687453623
South Africa,Ores and metals exports (% of merchandise exports),1994,6.41297116707479
South Africa,Ores and metals exports (% of merchandise exports),1995,7.99962827216631
South Africa,Ores and metals exports (% of merchandise exports),1996,11.3766485203764
South Africa,Ores and metals exports (% of merchandise exports),1997,8.09500030295954
South Africa,Ores and metals exports (% of merchandise exports),1998,9.48120220296762
South Africa,Ores and metals exports (% of merchandise exports),1999,21.2307273051505
South Africa,Ores and metals exports (% of merchandise exports),2000,10.6456581556563
South Africa,Ores and metals exports (% of merchandise exports),2001,22.8319929720272
South Africa,Ores and metals exports (% of merchandise exports),2002,11.2346894321467
South Africa,Ores and metals exports (% of merchandise exports),2003,19.0277419846124
South Africa,Ores and metals exports (% of merchandise exports),2004,21.9852655048325
South Africa,Ores and metals exports (% of merchandise exports),2005,22.2629845616509
South Africa,Ores and metals exports (% of merchandise exports),2006,28.4686593780611
South Africa,Ores and metals exports (% of merchandise exports),2007,29.3348942321308
South Africa,Ores and metals exports (% of merchandise exports),2008,29.0413837735149
South Africa,Ores and metals exports (% of merchandise exports),2009,29.2198675573527
South Africa,Ores and metals exports (% of merchandise exports),2010,28.2409913566516
South Africa,Ores and metals exports (% of merchandise exports),2011,28.0454412835201
South Africa,Ores and metals exports (% of merchandise exports),2012,25.2999859048438
South Africa,Ores and metals exports (% of merchandise exports),2013,27.8724762637705
South Africa,Ores and metals exports (% of merchandise exports),2014,24.2293790861848
South Africa,Ores and metals exports (% of merchandise exports),2015,23.2733801419885
South Africa,Ores and metals exports (% of merchandise exports),2016,22.069403504453
South Africa,Ores and metals exports (% of merchandise exports),2017,24.185244340361
South Africa,Ores and metals exports (% of merchandise exports),2018,25.6101432342632
South Africa,Ores and metals exports (% of merchandise exports),2019,28.4545998457312
South Africa,Ores and metals exports (% of merchandise exports),2020,31.4389170033873
South Africa,Ores and metals exports (% of merchandise exports),2021,37.7780356859312
South Africa,Ores and metals exports (% of merchandise exports),2022,31.5450035556722
