Country or Area,Item,Year,Value
South Africa,Ores and metals imports (% of merchandise imports),1985,2.37774991273701
South Africa,Ores and metals imports (% of merchandise imports),1992,1.58487630167985
South Africa,Ores and metals imports (% of merchandise imports),1993,1.67818886325396
South Africa,Ores and metals imports (% of merchandise imports),1994,1.59943626983369
South Africa,Ores and metals imports (% of merchandise imports),1995,2.37878395247296
South Africa,Ores and metals imports (% of merchandise imports),1996,2.27083312017788
South Africa,Ores and metals imports (% of merchandise imports),1997,2.19409721745523
South Africa,Ores and metals imports (% of merchandise imports),1998,2.3024762321982
South Africa,Ores and metals imports (% of merchandise imports),1999,2.61581351159209
South Africa,Ores and metals imports (% of merchandise imports),2000,2.6531685435066
South Africa,Ores and metals imports (% of merchandise imports),2001,2.12417740422162
South Africa,Ores and metals imports (% of merchandise imports),2002,2.53801904847202
South Africa,Ores and metals imports (% of merchandise imports),2003,2.70241092172999
South Africa,Ores and metals imports (% of merchandise imports),2004,2.80554677659474
South Africa,Ores and metals imports (% of merchandise imports),2005,2.55995275474809
South Africa,Ores and metals imports (% of merchandise imports),2006,3.19568108600238
South Africa,Ores and metals imports (% of merchandise imports),2007,3.29527139177005
South Africa,Ores and metals imports (% of merchandise imports),2008,3.3578904117666
South Africa,Ores and metals imports (% of merchandise imports),2009,1.86183575336231
South Africa,Ores and metals imports (% of merchandise imports),2010,2.33471375331056
South Africa,Ores and metals imports (% of merchandise imports),2011,2.42264028186912
South Africa,Ores and metals imports (% of merchandise imports),2012,2.260333228526
South Africa,Ores and metals imports (% of merchandise imports),2013,2.21626609969036
South Africa,Ores and metals imports (% of merchandise imports),2014,2.19833564248543
South Africa,Ores and metals imports (% of merchandise imports),2015,2.6735251302058
South Africa,Ores and metals imports (% of merchandise imports),2016,2.66733931323745
South Africa,Ores and metals imports (% of merchandise imports),2017,2.73582047195495
South Africa,Ores and metals imports (% of merchandise imports),2018,2.7727997631649
South Africa,Ores and metals imports (% of merchandise imports),2019,2.58708831328293
South Africa,Ores and metals imports (% of merchandise imports),2020,2.73258786112487
South Africa,Ores and metals imports (% of merchandise imports),2021,2.92588123130562
South Africa,Ores and metals imports (% of merchandise imports),2022,2.57705720000272
