Country or Area,Item,Year,Value
South Africa,Other manufacturing (% of value added in manufacturing),1985,52.971899367368
South Africa,Other manufacturing (% of value added in manufacturing),1986,53.588058518543
South Africa,Other manufacturing (% of value added in manufacturing),1987,51.3885400094895
South Africa,Other manufacturing (% of value added in manufacturing),1988,52.2319707996101
South Africa,Other manufacturing (% of value added in manufacturing),1989,54.2460415050794
South Africa,Other manufacturing (% of value added in manufacturing),1990,54.1695164061588
South Africa,Other manufacturing (% of value added in manufacturing),1991,48.0364232868485
South Africa,Other manufacturing (% of value added in manufacturing),1992,61.1947149226462
South Africa,Other manufacturing (% of value added in manufacturing),1993,48.9198593902316
South Africa,Other manufacturing (% of value added in manufacturing),1994,46.9031479093097
South Africa,Other manufacturing (% of value added in manufacturing),1995,48.2584084553552
South Africa,Other manufacturing (% of value added in manufacturing),1996,50.3989253800353
South Africa,Other manufacturing (% of value added in manufacturing),1997,65.6968358367582
South Africa,Other manufacturing (% of value added in manufacturing),1998,49.3321847501429
South Africa,Other manufacturing (% of value added in manufacturing),1999,58.9350394636407
South Africa,Other manufacturing (% of value added in manufacturing),2000,59.3526667085673
South Africa,Other manufacturing (% of value added in manufacturing),2001,58.5420244625707
South Africa,Other manufacturing (% of value added in manufacturing),2002,58.8913673075547
South Africa,Other manufacturing (% of value added in manufacturing),2003,58.5445685394222
South Africa,Other manufacturing (% of value added in manufacturing),2004,58.498020245361
South Africa,Other manufacturing (% of value added in manufacturing),2005,57.5693251770518
South Africa,Other manufacturing (% of value added in manufacturing),2006,56.1907707462221
South Africa,Other manufacturing (% of value added in manufacturing),2007,57.8463579039064
South Africa,Other manufacturing (% of value added in manufacturing),2008,58.5298115511871
South Africa,Other manufacturing (% of value added in manufacturing),2009,56.2547105534486
South Africa,Other manufacturing (% of value added in manufacturing),2010,55.0683712629711
South Africa,Other manufacturing (% of value added in manufacturing),2011,54.4271668411517
South Africa,Other manufacturing (% of value added in manufacturing),2012,54.4271668409653
South Africa,Other manufacturing (% of value added in manufacturing),2013,54.4271668405387
South Africa,Other manufacturing (% of value added in manufacturing),2014,54.4271668399846
South Africa,Other manufacturing (% of value added in manufacturing),2015,54.4271668403705
South Africa,Other manufacturing (% of value added in manufacturing),2016,54.4271689265891
South Africa,Other manufacturing (% of value added in manufacturing),2017,54.4271668423295
South Africa,Other manufacturing (% of value added in manufacturing),2018,54.4271668406258
South Africa,Other manufacturing (% of value added in manufacturing),2019,54.4271668418617
South Africa,Other manufacturing (% of value added in manufacturing),2020,54.4271668412488
South Africa,Other manufacturing (% of value added in manufacturing),2021,54.4271668414682
