Country or Area,Item,Year,Value
South Africa,"Services, value added (annual % growth)",1985,-0.198332908374994
South Africa,"Services, value added (annual % growth)",1986,0.72863727083805
South Africa,"Services, value added (annual % growth)",1987,3.37239121201985
South Africa,"Services, value added (annual % growth)",1988,3.17048510307556
South Africa,"Services, value added (annual % growth)",1989,2.0056613726634
South Africa,"Services, value added (annual % growth)",1990,0.632537543469837
South Africa,"Services, value added (annual % growth)",1991,0.198092157945069
South Africa,"Services, value added (annual % growth)",1992,-0.142921653794403
South Africa,"Services, value added (annual % growth)",1993,0.714965912340233
South Africa,"Services, value added (annual % growth)",1994,3.36228181923046
South Africa,"Services, value added (annual % growth)",1995,4.73931824269765
South Africa,"Services, value added (annual % growth)",1996,4.19938530489883
South Africa,"Services, value added (annual % growth)",1997,2.27162511376351
South Africa,"Services, value added (annual % growth)",1998,2.96668703257158
South Africa,"Services, value added (annual % growth)",1999,4.36273580704798
South Africa,"Services, value added (annual % growth)",2000,4.57034197999214
South Africa,"Services, value added (annual % growth)",2001,3.79932555830014
South Africa,"Services, value added (annual % growth)",2002,4.07501806381035
South Africa,"Services, value added (annual % growth)",2003,4.50142346789848
South Africa,"Services, value added (annual % growth)",2004,4.44577920978205
South Africa,"Services, value added (annual % growth)",2005,5.26985223239727
South Africa,"Services, value added (annual % growth)",2006,6.3097361490194
South Africa,"Services, value added (annual % growth)",2007,6.10300933134462
South Africa,"Services, value added (annual % growth)",2008,4.02302331112672
South Africa,"Services, value added (annual % growth)",2009,0.261796226053647
South Africa,"Services, value added (annual % growth)",2010,1.74526233733894
South Africa,"Services, value added (annual % growth)",2011,3.69962947308862
South Africa,"Services, value added (annual % growth)",2012,2.87005524607646
South Africa,"Services, value added (annual % growth)",2013,2.67107366314173
South Africa,"Services, value added (annual % growth)",2014,2.03977625063978
South Africa,"Services, value added (annual % growth)",2015,1.56556877363667
South Africa,"Services, value added (annual % growth)",2016,1.59386481011352
South Africa,"Services, value added (annual % growth)",2017,1.14917002161388
South Africa,"Services, value added (annual % growth)",2018,2.08237793842821
South Africa,"Services, value added (annual % growth)",2019,1.02212756063284
South Africa,"Services, value added (annual % growth)",2020,-4.11897894318186
South Africa,"Services, value added (annual % growth)",2021,3.7633773765879
South Africa,"Services, value added (annual % growth)",2022,3.38172305484312
