Country or Area,Item,Year,Value
South Africa,"Services, value added (constant 2015 US$)",1985,91479207185.7675
South Africa,"Services, value added (constant 2015 US$)",1986,92145758784.3902
South Africa,"Services, value added (constant 2015 US$)",1987,95253274255.884
South Africa,"Services, value added (constant 2015 US$)",1988,98273265126.3585
South Africa,"Services, value added (constant 2015 US$)",1989,100244294044.653
South Africa,"Services, value added (constant 2015 US$)",1990,100878376839.672
South Africa,"Services, value added (constant 2015 US$)",1991,101078208993.253
South Africa,"Services, value added (constant 2015 US$)",1992,100933746345.334
South Africa,"Services, value added (constant 2015 US$)",1993,101655388225.752
South Africa,"Services, value added (constant 2015 US$)",1994,105073328862.334
South Africa,"Services, value added (constant 2015 US$)",1995,110053088305.316
South Africa,"Services, value added (constant 2015 US$)",1996,114674641523.197
South Africa,"Services, value added (constant 2015 US$)",1997,117279619479.156
South Africa,"Services, value added (constant 2015 US$)",1998,120758938742.094
South Africa,"Services, value added (constant 2015 US$)",1999,126027332202.806
South Africa,"Services, value added (constant 2015 US$)",2000,131787212272.735
South Africa,"Services, value added (constant 2015 US$)",2001,136794237511.185
South Africa,"Services, value added (constant 2015 US$)",2002,142368627400.017
South Africa,"Services, value added (constant 2015 US$)",2003,148777242204.726
South Africa,"Services, value added (constant 2015 US$)",2004,155391549907.551
South Africa,"Services, value added (constant 2015 US$)",2005,163580454969.311
South Africa,"Services, value added (constant 2015 US$)",2006,173901950069.24
South Africa,"Services, value added (constant 2015 US$)",2007,184515202309.356
South Africa,"Services, value added (constant 2015 US$)",2008,191938291910.834
South Africa,"Services, value added (constant 2015 US$)",2009,192440779115.408
South Africa,"Services, value added (constant 2015 US$)",2010,195799375554.991
South Africa,"Services, value added (constant 2015 US$)",2011,203043226961.147
South Africa,"Services, value added (constant 2015 US$)",2012,208870679748.348
South Africa,"Services, value added (constant 2015 US$)",2013,214449769465.132
South Africa,"Services, value added (constant 2015 US$)",2014,218824064932.233
South Africa,"Services, value added (constant 2015 US$)",2015,222249906162.015
South Africa,"Services, value added (constant 2015 US$)",2016,225792269206.841
South Africa,"Services, value added (constant 2015 US$)",2017,228387006275.688
South Africa,"Services, value added (constant 2015 US$)",2018,233142886908.61
South Africa,"Services, value added (constant 2015 US$)",2019,235525904611.358
South Africa,"Services, value added (constant 2015 US$)",2020,225824642194.677
South Africa,"Services, value added (constant 2015 US$)",2021,234323275689.792
South Africa,"Services, value added (constant 2015 US$)",2022,242247439926.657
