Country or Area,Item,Year,Value
South Africa,"Services, value added (constant LCU)",1985,1166424000000.0
South Africa,"Services, value added (constant LCU)",1986,1174923000000.0
South Africa,"Services, value added (constant LCU)",1987,1214546000000.0
South Africa,"Services, value added (constant LCU)",1988,1253053000000.0
South Africa,"Services, value added (constant LCU)",1989,1278185000000.0
South Africa,"Services, value added (constant LCU)",1990,1286270000000.0
South Africa,"Services, value added (constant LCU)",1991,1288818000000.0
South Africa,"Services, value added (constant LCU)",1992,1286976000000.0
South Africa,"Services, value added (constant LCU)",1993,1296177439700.0
South Africa,"Services, value added (constant LCU)",1994,1339758578100.0
South Africa,"Services, value added (constant LCU)",1995,1403254000800.0
South Africa,"Services, value added (constant LCU)",1996,1462182043100.0
South Africa,"Services, value added (constant LCU)",1997,1495397337600.0
South Africa,"Services, value added (constant LCU)",1998,1539761096500.0
South Africa,"Services, value added (constant LCU)",1999,1606936805200.0
South Africa,"Services, value added (constant LCU)",2000,1680379312600.0
South Africa,"Services, value added (constant LCU)",2001,1744222393300.0
South Africa,"Services, value added (constant LCU)",2002,1815299770900.0
South Africa,"Services, value added (constant LCU)",2003,1897014100800.0
South Africa,"Services, value added (constant LCU)",2004,1981351159300.0
South Africa,"Services, value added (constant LCU)",2005,2085765437600.0
South Africa,"Services, value added (constant LCU)",2006,2217371733400.0
South Africa,"Services, value added (constant LCU)",2007,2352698137200.0
South Africa,"Services, value added (constant LCU)",2008,2447347731700.0
South Africa,"Services, value added (constant LCU)",2009,2453754795700.0
South Africa,"Services, value added (constant LCU)",2010,2496579254000.0
South Africa,"Services, value added (constant LCU)",2011,2588943435900.0
South Africa,"Services, value added (constant LCU)",2012,2663247542800.0
South Africa,"Services, value added (constant LCU)",2013,2734384846500.0
South Africa,"Services, value added (constant LCU)",2014,2790160179200.0
South Africa,"Services, value added (constant LCU)",2015,2833842055700.0
South Africa,"Services, value added (constant LCU)",2016,2879009667000.0
South Africa,"Services, value added (constant LCU)",2017,2912094383012.53
South Africa,"Services, value added (constant LCU)",2018,2972735193990.59
South Africa,"Services, value added (constant LCU)",2019,3003120339713.0
South Africa,"Services, value added (constant LCU)",2020,2879422445281.81
South Africa,"Services, value added (constant LCU)",2021,2987785978163.94
South Africa,"Services, value added (constant LCU)",2022,3088824625416.88
