Country or Area,Item,Year,Value
South Africa,"Services, value added (current LCU)",1985,72866000000.0
South Africa,"Services, value added (current LCU)",1986,84623000000.0
South Africa,"Services, value added (current LCU)",1987,101399000000.0
South Africa,"Services, value added (current LCU)",1988,120508000000.0
South Africa,"Services, value added (current LCU)",1989,145424000000.0
South Africa,"Services, value added (current LCU)",1990,171018000000.0
South Africa,"Services, value added (current LCU)",1991,202280000000.0
South Africa,"Services, value added (current LCU)",1992,238686000000.0
South Africa,"Services, value added (current LCU)",1993,275655881600.0
South Africa,"Services, value added (current LCU)",1994,312414808000.0
South Africa,"Services, value added (current LCU)",1995,362724151700.0
South Africa,"Services, value added (current LCU)",1996,415573069900.0
South Africa,"Services, value added (current LCU)",1997,466893333100.0
South Africa,"Services, value added (current LCU)",1998,510842436300.0
South Africa,"Services, value added (current LCU)",1999,568433749600.0
South Africa,"Services, value added (current LCU)",2000,644372835800.0
South Africa,"Services, value added (current LCU)",2001,708695404100.0
South Africa,"Services, value added (current LCU)",2002,827181280900.0
South Africa,"Services, value added (current LCU)",2003,932646123400.0
South Africa,"Services, value added (current LCU)",2004,1033258816400.0
South Africa,"Services, value added (current LCU)",2005,1150785370600.0
South Africa,"Services, value added (current LCU)",2006,1306560451200.0
South Africa,"Services, value added (current LCU)",2007,1472628685200.0
South Africa,"Services, value added (current LCU)",2008,1607122931000.0
South Africa,"Services, value added (current LCU)",2009,1778137658900.0
South Africa,"Services, value added (current LCU)",2010,1964003409600.0
South Africa,"Services, value added (current LCU)",2011,2140695181700.0
South Africa,"Services, value added (current LCU)",2012,2293346462700.0
South Africa,"Services, value added (current LCU)",2013,2478002437600.0
South Africa,"Services, value added (current LCU)",2014,2646165781600.0
South Africa,"Services, value added (current LCU)",2015,2833841878500.0
South Africa,"Services, value added (current LCU)",2016,3041993206900.0
South Africa,"Services, value added (current LCU)",2017,3266821192323.22
South Africa,"Services, value added (current LCU)",2018,3446020184762.06
South Africa,"Services, value added (current LCU)",2019,3619668805733.05
South Africa,"Services, value added (current LCU)",2020,3598611121016.43
South Africa,"Services, value added (current LCU)",2021,3908094577503.33
South Africa,"Services, value added (current LCU)",2022,4129365771632.26
