Country or Area,Item,Year,Value
South Africa,"Services, value added (current US$)",1985,32694762583.1492
South Africa,"Services, value added (current US$)",1986,37033617034.6849
South Africa,"Services, value added (current US$)",1987,49802237979.4434
South Africa,"Services, value added (current US$)",1988,53006244204.8887
South Africa,"Services, value added (current US$)",1989,55448688496.5247
South Africa,"Services, value added (current US$)",1990,66098485653.6935
South Africa,"Services, value added (current US$)",1991,73254952803.2839
South Africa,"Services, value added (current US$)",1992,83690332515.8993
South Africa,"Services, value added (current US$)",1993,84356684707.6666
South Africa,"Services, value added (current US$)",1994,87984393367.3501
South Africa,"Services, value added (current US$)",1995,100004315228.345
South Africa,"Services, value added (current US$)",1996,96659533780.5793
South Africa,"Services, value added (current US$)",1997,101323173476.691
South Africa,"Services, value added (current US$)",1998,92405244792.0548
South Africa,"Services, value added (current US$)",1999,93041204396.3123
South Africa,"Services, value added (current US$)",2000,92851413003.3194
South Africa,"Services, value added (current US$)",2001,82318562485.7928
South Africa,"Services, value added (current US$)",2002,78474635706.5586
South Africa,"Services, value added (current US$)",2003,123288442670.074
South Africa,"Services, value added (current US$)",2004,159954786767.73
South Africa,"Services, value added (current US$)",2005,180960216331.034
South Africa,"Services, value added (current US$)",2006,192948533814.051
South Africa,"Services, value added (current US$)",2007,209020921584.616
South Africa,"Services, value added (current US$)",2008,194538136907.816
South Africa,"Services, value added (current US$)",2009,209842585270.569
South Africa,"Services, value added (current US$)",2010,268261693143.576
South Africa,"Services, value added (current US$)",2011,294815626778.304
South Africa,"Services, value added (current US$)",2012,279339146968.903
South Africa,"Services, value added (current US$)",2013,256782495450.871
South Africa,"Services, value added (current US$)",2014,244012188927.004
South Africa,"Services, value added (current US$)",2015,222249906162.015
South Africa,"Services, value added (current US$)",2016,206814506071.195
South Africa,"Services, value added (current US$)",2017,245387645991.724
South Africa,"Services, value added (current US$)",2018,260392886038.66
South Africa,"Services, value added (current US$)",2019,250523382630.722
South Africa,"Services, value added (current US$)",2020,218639538481.371
South Africa,"Services, value added (current US$)",2021,264441418745.529
South Africa,"Services, value added (current US$)",2022,252470217947.805
