Country or Area,Item,Year,Value
South Africa,"Services, value added per worker (constant 2015 US$)",1991,16153.4237204455
South Africa,"Services, value added per worker (constant 2015 US$)",1992,15957.783335584
South Africa,"Services, value added per worker (constant 2015 US$)",1993,15785.9247519104
South Africa,"Services, value added per worker (constant 2015 US$)",1994,15934.7782213694
South Africa,"Services, value added per worker (constant 2015 US$)",1995,16256.3599513896
South Africa,"Services, value added per worker (constant 2015 US$)",1996,16482.0838428022
South Africa,"Services, value added per worker (constant 2015 US$)",1997,16443.1442164968
South Africa,"Services, value added per worker (constant 2015 US$)",1998,16547.6098596176
South Africa,"Services, value added per worker (constant 2015 US$)",1999,16852.2274597711
South Africa,"Services, value added per worker (constant 2015 US$)",2000,17129.5150956698
South Africa,"Services, value added per worker (constant 2015 US$)",2001,17402.1781428686
South Africa,"Services, value added per worker (constant 2015 US$)",2002,17698.2352316792
South Africa,"Services, value added per worker (constant 2015 US$)",2003,17877.3831936668
South Africa,"Services, value added per worker (constant 2015 US$)",2004,18360.0802819918
South Africa,"Services, value added per worker (constant 2015 US$)",2005,18703.9457513988
South Africa,"Services, value added per worker (constant 2015 US$)",2006,19163.147498148
South Africa,"Services, value added per worker (constant 2015 US$)",2007,19648.7470478153
South Africa,"Services, value added per worker (constant 2015 US$)",2008,18816.2476046077
South Africa,"Services, value added per worker (constant 2015 US$)",2009,19060.4667444056
South Africa,"Services, value added per worker (constant 2015 US$)",2010,20595.0216577586
South Africa,"Services, value added per worker (constant 2015 US$)",2011,19946.2336004318
South Africa,"Services, value added per worker (constant 2015 US$)",2012,19851.3014619301
South Africa,"Services, value added per worker (constant 2015 US$)",2013,19918.2917321048
South Africa,"Services, value added per worker (constant 2015 US$)",2014,19834.9467383765
South Africa,"Services, value added per worker (constant 2015 US$)",2015,19720.9012482268
South Africa,"Services, value added per worker (constant 2015 US$)",2016,20061.7603566887
South Africa,"Services, value added per worker (constant 2015 US$)",2017,20156.1609965514
South Africa,"Services, value added per worker (constant 2015 US$)",2018,20308.2223513898
South Africa,"Services, value added per worker (constant 2015 US$)",2019,20484.5849293639
South Africa,"Services, value added per worker (constant 2015 US$)",2020,21364.3236322251
South Africa,"Services, value added per worker (constant 2015 US$)",2021,22654.5630529513
South Africa,"Services, value added per worker (constant 2015 US$)",2022,22295.33092655
