Country or Area,Item,Year,Value
South Africa,"Services, value added (% of GDP)",1985,50.7215002192692
South Africa,"Services, value added (% of GDP)",1986,50.4856280351752
South Africa,"Services, value added (% of GDP)",1987,51.5894174510303
South Africa,"Services, value added (% of GDP)",1988,50.978899098093
South Africa,"Services, value added (% of GDP)",1989,51.3149490993137
South Africa,"Services, value added (% of GDP)",1990,52.4390804809169
South Africa,"Services, value added (% of GDP)",1991,54.1811753361547
South Africa,"Services, value added (% of GDP)",1992,56.9491865117711
South Africa,"Services, value added (% of GDP)",1993,57.3095753093944
South Africa,"Services, value added (% of GDP)",1994,57.3140764710769
South Africa,"Services, value added (% of GDP)",1995,58.2314446131759
South Africa,"Services, value added (% of GDP)",1996,59.214983285733
South Africa,"Services, value added (% of GDP)",1997,59.9623259250618
South Africa,"Services, value added (% of GDP)",1998,60.4023022949226
South Africa,"Services, value added (% of GDP)",1999,61.406463138041
South Africa,"Services, value added (% of GDP)",2000,61.1859808725457
South Africa,"Services, value added (% of GDP)",2001,60.7831497223987
South Africa,"Services, value added (% of GDP)",2002,60.791789515513
South Africa,"Services, value added (% of GDP)",2003,62.5769415025101
South Africa,"Services, value added (% of GDP)",2004,62.5295022900426
South Africa,"Services, value added (% of GDP)",2005,62.6447743317012
South Africa,"Services, value added (% of GDP)",2006,63.4994322880989
South Africa,"Services, value added (% of GDP)",2007,62.7545126209971
South Africa,"Services, value added (% of GDP)",2008,61.5371405407045
South Africa,"Services, value added (% of GDP)",2009,63.6360883195073
South Africa,"Services, value added (% of GDP)",2010,64.2752626096743
South Africa,"Services, value added (% of GDP)",2011,64.3421981264186
South Africa,"Services, value added (% of GDP)",2012,64.3045111542673
South Africa,"Services, value added (% of GDP)",2013,64.0537426456394
South Africa,"Services, value added (% of GDP)",2014,64.0117818477066
South Africa,"Services, value added (% of GDP)",2015,64.1025757790295
South Africa,"Services, value added (% of GDP)",2016,63.913401523834
South Africa,"Services, value added (% of GDP)",2017,64.3304256205143
South Africa,"Services, value added (% of GDP)",2018,64.2531759646897
South Africa,"Services, value added (% of GDP)",2019,64.3473048306916
South Africa,"Services, value added (% of GDP)",2020,64.6305348140146
South Africa,"Services, value added (% of GDP)",2021,62.9445862327698
South Africa,"Services, value added (% of GDP)",2022,62.296663548807
