Country or Area,Item,Year,Value
South Africa,Terms of trade adjustment (constant LCU),1985,-82676516477.4109
South Africa,Terms of trade adjustment (constant LCU),1986,-71397014760.1476
South Africa,Terms of trade adjustment (constant LCU),1987,-55693736914.678
South Africa,Terms of trade adjustment (constant LCU),1988,-71537060156.5632
South Africa,Terms of trade adjustment (constant LCU),1989,-94779141551.3237
South Africa,Terms of trade adjustment (constant LCU),1990,-103490412093.571
South Africa,Terms of trade adjustment (constant LCU),1991,-102103710961.737
South Africa,Terms of trade adjustment (constant LCU),1992,-112144508532.211
South Africa,Terms of trade adjustment (constant LCU),1993,-127762695377.144
South Africa,Terms of trade adjustment (constant LCU),1994,-131314896659.337
South Africa,Terms of trade adjustment (constant LCU),1995,-159116217600.052
South Africa,Terms of trade adjustment (constant LCU),1996,-143133042810.052
South Africa,Terms of trade adjustment (constant LCU),1997,-159913952500.567
South Africa,Terms of trade adjustment (constant LCU),1998,-174306265960.233
South Africa,Terms of trade adjustment (constant LCU),1999,-199616639706.093
South Africa,Terms of trade adjustment (constant LCU),2000,-231656312915.609
South Africa,Terms of trade adjustment (constant LCU),2001,-229874744888.932
South Africa,Terms of trade adjustment (constant LCU),2002,-215096561967.37
South Africa,Terms of trade adjustment (constant LCU),2003,-186053729373.126
South Africa,Terms of trade adjustment (constant LCU),2004,-177629345935.845
South Africa,Terms of trade adjustment (constant LCU),2005,-178782059370.992
South Africa,Terms of trade adjustment (constant LCU),2006,-149266502260.329
South Africa,Terms of trade adjustment (constant LCU),2007,-129851438015.739
South Africa,Terms of trade adjustment (constant LCU),2008,-121068654258.509
South Africa,Terms of trade adjustment (constant LCU),2009,-53242725932.7952
South Africa,Terms of trade adjustment (constant LCU),2010,3652244611.44543
South Africa,Terms of trade adjustment (constant LCU),2011,76285413134.2795
South Africa,Terms of trade adjustment (constant LCU),2012,21846752737.7896
South Africa,Terms of trade adjustment (constant LCU),2013,-2838330453.38501
South Africa,Terms of trade adjustment (constant LCU),2014,-27765174614.1599
South Africa,Terms of trade adjustment (constant LCU),2015,0.0
South Africa,Terms of trade adjustment (constant LCU),2016,19450189927.6174
South Africa,Terms of trade adjustment (constant LCU),2017,76172624500.9375
South Africa,Terms of trade adjustment (constant LCU),2018,55703646187.3152
South Africa,Terms of trade adjustment (constant LCU),2019,104901900424.667
South Africa,Terms of trade adjustment (constant LCU),2020,199729717765.302
South Africa,Terms of trade adjustment (constant LCU),2021,291214687416.486
South Africa,Terms of trade adjustment (constant LCU),2022,177306003767.043
