Country or Area,Item,Year,Value
South Africa,Textiles and clothing (% of value added in manufacturing),1985,7.23848756804473
South Africa,Textiles and clothing (% of value added in manufacturing),1986,7.91585482645884
South Africa,Textiles and clothing (% of value added in manufacturing),1987,8.7554774065701
South Africa,Textiles and clothing (% of value added in manufacturing),1988,8.00516901312657
South Africa,Textiles and clothing (% of value added in manufacturing),1989,8.01157753353134
South Africa,Textiles and clothing (% of value added in manufacturing),1990,8.37906817688959
South Africa,Textiles and clothing (% of value added in manufacturing),1991,7.97866884231797
South Africa,Textiles and clothing (% of value added in manufacturing),1992,1.51504764034257
South Africa,Textiles and clothing (% of value added in manufacturing),1993,8.2960111854175
South Africa,Textiles and clothing (% of value added in manufacturing),1994,8.62354867398567
South Africa,Textiles and clothing (% of value added in manufacturing),1995,8.15805488303976
South Africa,Textiles and clothing (% of value added in manufacturing),1996,7.8205613108858
South Africa,Textiles and clothing (% of value added in manufacturing),1997,7.82056131130083
South Africa,Textiles and clothing (% of value added in manufacturing),1998,6.19671365660046
South Africa,Textiles and clothing (% of value added in manufacturing),1999,5.31032218046484
South Africa,Textiles and clothing (% of value added in manufacturing),2000,4.89854587873272
South Africa,Textiles and clothing (% of value added in manufacturing),2001,4.41644479867953
South Africa,Textiles and clothing (% of value added in manufacturing),2002,4.61009994990578
South Africa,Textiles and clothing (% of value added in manufacturing),2003,4.62842654250808
South Africa,Textiles and clothing (% of value added in manufacturing),2004,4.51126586792476
South Africa,Textiles and clothing (% of value added in manufacturing),2005,4.11184654869647
South Africa,Textiles and clothing (% of value added in manufacturing),2006,3.88334801428314
South Africa,Textiles and clothing (% of value added in manufacturing),2007,3.55638097258988
South Africa,Textiles and clothing (% of value added in manufacturing),2008,2.99921027059241
South Africa,Textiles and clothing (% of value added in manufacturing),2009,3.08921863600461
South Africa,Textiles and clothing (% of value added in manufacturing),2010,1.76858062381568
South Africa,Textiles and clothing (% of value added in manufacturing),2011,1.79381945322885
South Africa,Textiles and clothing (% of value added in manufacturing),2012,1.79381945326409
South Africa,Textiles and clothing (% of value added in manufacturing),2013,1.79381945358398
South Africa,Textiles and clothing (% of value added in manufacturing),2014,1.79381945325914
South Africa,Textiles and clothing (% of value added in manufacturing),2015,1.79381945335878
South Africa,Textiles and clothing (% of value added in manufacturing),2016,1.79381937124369
South Africa,Textiles and clothing (% of value added in manufacturing),2017,1.79381945317797
South Africa,Textiles and clothing (% of value added in manufacturing),2018,1.79381945323785
South Africa,Textiles and clothing (% of value added in manufacturing),2019,1.79381945330246
South Africa,Textiles and clothing (% of value added in manufacturing),2020,1.79381945326657
South Africa,Textiles and clothing (% of value added in manufacturing),2021,1.79381945332736
