Country or Area,Item,Year,Value
South Africa,Total fisheries production (metric tons),1985,799023.0
South Africa,Total fisheries production (metric tons),1986,843614.0
South Africa,Total fisheries production (metric tons),1987,1447221.0
South Africa,Total fisheries production (metric tons),1988,1324334.0
South Africa,Total fisheries production (metric tons),1989,889864.0
South Africa,Total fisheries production (metric tons),1990,549197.0
South Africa,Total fisheries production (metric tons),1991,512178.0
South Africa,Total fisheries production (metric tons),1992,705926.0
South Africa,Total fisheries production (metric tons),1993,574396.0
South Africa,Total fisheries production (metric tons),1994,532331.0
South Africa,Total fisheries production (metric tons),1995,585979.0
South Africa,Total fisheries production (metric tons),1996,453193.0
South Africa,Total fisheries production (metric tons),1997,530260.0
South Africa,Total fisheries production (metric tons),1998,579466.0
South Africa,Total fisheries production (metric tons),1999,609605.0
South Africa,Total fisheries production (metric tons),2000,667086.0
South Africa,Total fisheries production (metric tons),2001,785547.0
South Africa,Total fisheries production (metric tons),2002,797769.0
South Africa,Total fisheries production (metric tons),2003,847226.0
South Africa,Total fisheries production (metric tons),2004,917685.0
South Africa,Total fisheries production (metric tons),2005,831004.0
South Africa,Total fisheries production (metric tons),2006,635071.0
South Africa,Total fisheries production (metric tons),2007,696526.0
South Africa,Total fisheries production (metric tons),2008,661336.0
South Africa,Total fisheries production (metric tons),2009,528334.0
South Africa,Total fisheries production (metric tons),2010,645803.6
South Africa,Total fisheries production (metric tons),2011,550307.28
South Africa,Total fisheries production (metric tons),2012,725173.94
South Africa,Total fisheries production (metric tons),2013,437478.77
South Africa,Total fisheries production (metric tons),2014,616469.0
South Africa,Total fisheries production (metric tons),2015,579065.4
South Africa,Total fisheries production (metric tons),2016,630184.32
South Africa,Total fisheries production (metric tons),2017,536264.08
South Africa,Total fisheries production (metric tons),2018,578377.82
South Africa,Total fisheries production (metric tons),2019,456228.55
South Africa,Total fisheries production (metric tons),2020,613435.48
South Africa,Total fisheries production (metric tons),2021,504475.87
South Africa,Total fisheries production (metric tons),2022,484805.53
